('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newtoff/trim/ghost/kk/device', '->', 'halffull/newtoff/trim/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newtoff/trim/ghost/kk/host', '->', 'halffull/newtoff/trim/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newtoff/trim/kk/device', '->', 'halffull/newtoff/trim')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newtoff/trim/kk/host', '->', 'halffull/newtoff/trim')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newtoff/trim/skip/ghost/kk/device', '->', 'halffull/newtoff/trim/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newtoff/trim/skip/ghost/kk/host', '->', 'halffull/newtoff/trim/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newtoff/trim/skip/kk/device', '->', 'halffull/newtoff/trim/skip')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newtoff/trim/skip/kk/host', '->', 'halffull/newtoff/trim/skip')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/ghost/kk/device', '->', 'halffull/newton/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/ghost/kk/host', '->', 'halffull/newton/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/skip/ghost/kk/device', '->', 'halffull/newton/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/skip/ghost/kk/host', '->', 'halffull/newton/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/ghost/kk/device', '->', 'halffull/newton/tri/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/ghost/kk/host', '->', 'halffull/newton/tri/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/skip/ghost/kk/device', '->', 'halffull/newton/tri/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/skip/ghost/kk/host', '->', 'halffull/newton/tri/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/skip/kk/device', '->', 'halffull/newton/tri/skip')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/skip/kk/host', '->', 'halffull/newton/tri/skip')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/trim/ghost/kk/device', '->', 'halffull/newton/tri/trim/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/trim/ghost/kk/host', '->', 'halffull/newton/tri/trim/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/trim/kk/device', '->', 'halffull/newton/tri/trim')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/trim/kk/host', '->', 'halffull/newton/tri/trim')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/trim/skip/ghost/kk/device', '->', 'halffull/newton/tri/trim/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/trim/skip/ghost/kk/host', '->', 'halffull/newton/tri/trim/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/trim/skip/kk/device', '->', 'halffull/newton/tri/trim/skip')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/tri/trim/skip/kk/host', '->', 'halffull/newton/tri/trim/skip')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/trim/ghost/kk/host', '->', 'halffull/newton/trim/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/trim/kk/device', '->', 'halffull/newton/trim')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/trim/kk/host', '->', 'halffull/newton/trim')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/trim/skip/ghost/kk/device', '->', 'halffull/newton/trim/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/trim/skip/ghost/kk/host', '->', 'halffull/newton/trim/skip/ghost')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/trim/skip/kk/device', '->', 'halffull/newton/trim/skip')
('npair_halffull_kokkos.h', 'NPairStyle', 'halffull/newton/trim/skip/kk/host', '->', 'halffull/newton/trim/skip')
('npair_kokkos.h', 'NPairStyle', 'half/bin/newtoff/ghost/kk/device', '->', 'half/bin/newtoff/ghost')
('npair_kokkos.h', 'NPairStyle', 'half/bin/newtoff/ghost/kk/host', '->', 'half/bin/newtoff/ghost')
('npair_kokkos.h', 'NPairStyle', 'half/bin/newtoff/size/kk/device', '->', 'half/bin/newtoff/size')
('npair_kokkos.h', 'NPairStyle', 'half/bin/newtoff/size/kk/host', '->', 'half/bin/newtoff/size')
('npair_kokkos.h', 'NPairStyle', 'half/bin/newton/size/kk/device', '->', 'half/bin/newton/size')
('npair_kokkos.h', 'NPairStyle', 'half/bin/newton/size/kk/host', '->', 'half/bin/newton/size')
('npair_skip_kokkos.h', 'NPairStyle', 'skip/trim/ghost/kk/device', '->', 'skip/trim/ghost')
('npair_skip_kokkos.h', 'NPairStyle', 'skip/trim/ghost/kk/host', '->', 'skip/trim/ghost')
TOTAL 41
