# Time-averaged data for fix fb
# TimeStep Number-of-rows
# Row c_pB[1] c_pB[2] c_pB[3] c_pB[4] c_pB[5] c_pB[6] c_pB[7] c_pB[8]
0 360
1 0.05 0 0 0 0 -0.000584802 -0.0296946 -0.0024649
2 0.15 0 0 0 0 -0.000584802 -0.0296946 -0.0024649
3 0.25 0 0 0 0 -0.000584802 -0.0296946 -0.0024649
4 0.35 0.1 0.0121442 0.0145468 0.000655431 -0.000110396 -0.00240281 -0.000377848
5 0.45 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
6 0.55 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
7 0.65 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
8 0.75 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
9 0.85 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
10 0.95 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
11 1.05 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
12 1.15 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
13 1.25 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
14 1.35 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
15 1.45 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
16 1.55 0 0 0 0 -7.02391e-05 -9.26808e-05 -0.000201188
17 1.65 0.1 0.0225898 0.129297 0.000319121 -0.00162618 -0.000308976 -0.00078254
18 1.75 0 0 0 0 -0.0185274 -0.00265846 -0.00709741
19 1.85 0 0 0 0 -0.0185274 -0.00265846 -0.00709741
20 1.95 0 0 0 0 -0.0185274 -0.00265846 -0.00709741
21 2.05 0 0 0 0 -0.0185274 -0.00265846 -0.00709741
22 2.15 0 0 0 0 -0.0185274 -0.00265846 -0.00709741
23 2.25 0 0 0 0 -0.0185274 -0.00265846 -0.00709741
24 2.35 0 0 0 0 -0.0185274 -0.00265846 -0.00709741
25 2.45 0.2 0.0500448 0.18476 0.0992178 -0.00901205 -0.00276237 -0.00245089
26 2.55 0 0 0 0 -0.0042701 -0.0058731 -0.00114525
27 2.65 0.1 9.93693e-05 0.0728575 0.0643339 -0.00473859 -0.00586914 -0.00111949
28 2.75 0 0 0 0 -0.00624101 -0.00585644 -0.00103686
29 2.85 0.1 0.0981897 0.00261378 0.255527 -0.00444324 -0.00662941 -0.00108362
30 2.95 0 0 0 0 -0.00434142 -0.00667319 -0.00108626
31 3.05 0.1 0.0516692 0.0144247 0.000150862 -0.0195721 -0.00359901 -0.00756914
32 3.15 0 0 0 0 -0.0290706 -0.00168182 -0.0116121
33 3.25 0 0 0 0 -0.0290706 -0.00168182 -0.0116121
34 3.35 0 0 0 0 -0.0290706 -0.00168182 -0.0116121
35 3.45 0 0 0 0 -0.0290706 -0.00168182 -0.0116121
36 3.55 0 0 0 0 -0.0290706 -0.00168182 -0.0116121
37 3.65 0 0 0 0 -0.0290706 -0.00168182 -0.0116121
38 3.75 0.1 0.0374704 0.016307 0.0415861 -0.00767424 -0.000487719 -0.00319217
39 3.85 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
40 3.95 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
41 4.05 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
42 4.15 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
43 4.25 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
44 4.35 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
45 4.45 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
46 4.55 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
47 4.65 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
48 4.75 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
49 4.85 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
50 4.95 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
51 5.05 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
52 5.15 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
53 5.25 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
54 5.35 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
55 5.45 0 0 0 0 -3.88952e-05 -6.16005e-05 -0.000187494
56 5.55 0.1 0.0368671 0.0587412 0.0137785 -0.000164551 -0.000195152 -0.000450596
57 5.65 0 0 0 0 -0.000176736 -0.000208103 -0.00047611
58 5.75 0 0 0 0 -0.000176736 -0.000208103 -0.00047611
59 5.85 0 0 0 0 -0.000176736 -0.000208103 -0.00047611
60 5.95 0 0 0 0 -0.000176736 -0.000208103 -0.00047611
61 6.05 0 0 0 0 -0.000176736 -0.000208103 -0.00047611
62 6.15 0 0 0 0 -0.000176736 -0.000208103 -0.00047611
63 6.25 0 0 0 0 -0.000176736 -0.000208103 -0.00047611
64 6.35 0.1 0.0528577 0.00583203 0.00287743 -0.000481527 -0.000765085 -0.00402911
65 6.45 0 0 0 0 -0.000602244 -0.000985685 -0.00543632
66 6.55 0 0 0 0 -0.000602244 -0.000985685 -0.00543632
67 6.65 0 0 0 0 -0.000602244 -0.000985685 -0.00543632
68 6.75 0 0 0 0 -0.000602244 -0.000985685 -0.00543632
69 6.85 0 0 0 0 -0.000602244 -0.000985685 -0.00543632
70 6.95 0 0 0 0 -0.000602244 -0.000985685 -0.00543632
71 7.05 0 0 0 0 -0.000602244 -0.000985685 -0.00543632
72 7.15 0 0 0 0 -0.000602244 -0.000985685 -0.00543632
73 7.25 0.1 0.0642353 0.062283 0.000464228 -0.00271315 -0.00140851 -0.00685415
74 7.35 0 0 0 0 -0.0455152 -0.00998201 -0.0356028
75 7.45 0 0 0 0 -0.0455152 -0.00998201 -0.0356028
76 7.55 0 0 0 0 -0.0455152 -0.00998201 -0.0356028
77 7.65 0.1 0.0255819 0.00612696 0.701582 -0.0370673 -0.018542 -0.0444474
78 7.75 0.2 0.0548431 0.297028 0.161427 -0.0739851 -0.0460846 -0.0678869
79 7.85 0 0 0 0 -0.184398 -0.0724954 -0.0907332
80 7.95 0.1 0.290041 0.00265768 0.0650768 -0.187067 -0.0780237 -0.092461
81 8.05 0.2 0.00897522 0.072362 0.293835 -0.0736383 -0.214037 -0.135812
82 8.15 0.2 0.0150978 0.491298 0.0171472 -0.0753568 -0.116328 -0.162834
83 8.25 0 0 0 0 -0.10664 -0.172248 -0.24398
84 8.35 0.1 0.0479231 0.127155 0.00815485 -0.125079 -0.159156 -0.251486
85 8.45 0.2 0.051607 0.0277107 0.294602 -0.260659 -0.377038 -0.252561
86 8.55 0 0 0 0 -0.224697 -0.172472 -0.271705
87 8.65 0 0 0 0 -0.224697 -0.172472 -0.271705
88 8.75 0.3 0.316435 0.23666 0.794799 -0.178483 -0.412238 -0.308277
89 8.85 0 0 0 0 -0.138187 -0.18479 -0.324741
90 8.95 0.1 0.000239719 0.619886 0.195113 -0.139746 -0.202073 -0.325726
91 9.05 0.3 0.50446 0.109776 0.0334939 1.09806 -0.146406 -0.198996
92 9.15 0.3 0.108821 0.207941 0.324063 0.359832 -0.25364 0.0358212
93 9.25 0.3 0.16228 0.364021 0.225935 -0.166373 -0.361627 0.0174207
94 9.35 0.1 0.142158 0.0245461 0.0556316 -0.140667 -0.324198 0.0645855
95 9.45 0.4 0.156749 0.0888554 0.201244 -0.356979 -0.441703 0.0602359
96 9.55 0.3 0.142514 0.159553 0.389702 -0.708935 -0.387392 -0.0118094
97 9.65 0.5 0.669993 0.240098 0.35776 -0.494653 -0.457438 -0.080112
98 9.75 0.2 0.159481 0.0565791 0.00434282 -0.447254 -0.784541 -0.12885
99 9.85 0.6 0.408606 0.5203 0.424187 -0.809764 -1.69657 -0.43097
100 9.95 0.8 0.673066 0.326248 0.216186 -0.752071 0.0706081 -0.473037
101 10.05 0.5 0.320328 0.297 0.343172 -1.29129 -0.00999275 -0.478629
102 10.15 0.5 0.844266 0.253226 0.371061 -1.47939 -1.16339 -0.550944
103 10.25 0.6 0.431983 0.237776 0.410607 -1.73866 -1.43421 -0.476838
104 10.35 0.5 0.811556 0.209258 0.679105 -1.68539 -0.842044 -0.277857
105 10.45 0.6 0.2717 0.207237 0.205263 -1.75129 -1.50889 0.0908267
106 10.55 0.5 0.616692 0.60583 0.464928 -1.78442 -1.61947 0.0447105
107 10.65 1 1.23219 0.288387 0.295041 -2.71709 -1.95885 0.450712
108 10.75 0.6 0.938506 0.203381 0.172388 -1.34778 -0.678164 0.138685
109 10.85 0.7 0.1384 0.98392 0.421643 -0.61268 -0.675319 -0.0543551
110 10.95 0.4 0.243866 0.0902515 0.232407 -0.783551 -1.13981 -0.0976957
111 11.05 0.7 0.298627 0.239409 0.509205 -1.73682 -2.14664 -0.193158
112 11.15 0.5 0.332691 0.248504 0.523071 -2.8227 -2.47441 -0.318529
113 11.25 1 0.909649 1.2844 0.458668 -2.37571 -3.16833 -0.204588
114 11.35 0.7 0.900011 0.490379 0.592003 -0.815821 -2.18115 -0.505975
115 11.45 0.7 0.694069 0.415493 0.368703 -0.894784 -0.305984 -0.481516
116 11.55 0.4 0.0561717 0.123713 0.359263 -2.2272 -2.47665 -0.505356
117 11.65 0.5 0.374692 0.457224 0.391731 -1.51206 -1.40364 -0.371065
118 11.75 1.1 1.64336 1.7243 0.589243 0.761053 -0.861328 -0.242684
119 11.85 0.5 0.499608 0.249511 0.760358 0.0943544 -1.27237 0.0724889
120 11.95 0.5 0.695282 0.394507 0.403824 0.262249 -1.38896 0.19319
121 12.05 1.2 0.355508 0.626609 1.09899 -0.382493 -2.05387 -0.171999
122 12.15 0.9 0.348337 0.944908 0.509655 -2.32977 0.245305 -0.45743
123 12.25 0.8 1.0757 0.587912 0.613077 -2.45826 -2.10207 -0.859183
124 12.35 0.2 0.136944 0.086632 0.165451 -1.39234 -0.0257241 -0.986063
125 12.45 0.9 0.29477 0.502608 0.711843 -0.317945 -1.06882 -1.08513
126 12.55 0.9 0.900364 0.427027 0.302684 0.204204 -1.6477 -1.33905
127 12.65 0.7 1.14559 0.494242 0.732023 0.160087 -0.100347 -1.65293
128 12.75 1 0.412188 0.598739 0.71033 -0.74283 -0.807438 -1.75241
129 12.85 0.4 0.0771772 0.0750024 0.155461 -2.27969 -1.6245 -1.72439
130 12.95 0.6 0.690625 0.865666 0.58435 -1.35041 -2.43039 -1.86105
131 13.05 0.8 0.597926 0.596513 0.881569 -2.84522 -2.94841 -1.71875
132 13.15 1 0.760194 1.98697 0.584881 0.921824 -2.50545 -1.1459
133 13.25 0.5 0.268486 0.553581 0.619367 2.6757 -1.58424 -1.11093
134 13.35 0.8 0.967183 0.891072 0.788047 -1.87384 -1.36583 -1.00071
135 13.45 0.9 0.891343 0.479483 1.32178 -2.85461 -1.64116 -0.932331
136 13.55 0.4 0.637371 0.3819 0.322028 -1.57087 -0.730353 -0.52864
137 13.65 0.9 0.47408 1.45792 0.24879 -1.7802 -0.40859 -0.732279
138 13.75 1.1 0.368033 1.2453 0.565319 -0.213179 -1.21333 -0.605693
139 13.85 0.7 1.06568 0.565038 0.87898 -1.7741 -2.5242 -0.884128
140 13.95 0.6 0.278621 0.245051 0.445204 -0.317479 -1.85602 -0.602097
141 14.05 0.5 0.184147 0.259827 0.177248 -0.753936 -0.202335 -0.599654
142 14.15 0.7 0.244882 0.440477 0.50138 -1.25488 0.37544 -0.299612
143 14.25 1.1 1.70637 0.521333 1.20015 -2.13721 -1.73097 -0.221534
144 14.35 0.6 0.667011 0.538164 0.299291 0.445128 -0.869477 -0.236955
145 14.45 0.7 0.625566 0.72893 0.584989 -1.53124 0.871443 -0.2461
146 14.55 1 0.845231 0.86345 1.49671 -0.578694 1.78922 -0.706832
147 14.65 1.3 1.02499 1.19222 1.30698 -1.32695 0.188778 -0.747867
148 14.75 0.5 0.0372469 0.548645 0.41285 -2.25659 -0.656228 -0.72689
149 14.85 0.7 0.3656 1.41098 0.60565 -2.47178 -1.19794 -0.875701
150 14.95 0.5 0.765668 0.293508 0.495109 -2.76482 -2.35985 -0.912017
151 15.05 0.7 0.579931 1.03434 0.660226 -2.69928 -2.04541 -1.3422
152 15.15 0.6 0.326801 0.281543 0.247668 -2.39161 -1.79123 -1.37529
153 15.25 0.6 0.734516 0.367404 0.478843 -1.96779 -2.44021 -1.29111
154 15.35 1 1.00935 0.546974 0.802398 -1.95584 -1.29057 -1.21053
155 15.45 0.7 0.335043 0.799936 0.414362 -1.73452 -2.60245 -0.907914
156 15.55 0.9 0.840465 0.561241 1.13804 -2.53894 -1.9484 -0.427407
157 15.65 0.5 0.468228 0.15834 0.30281 -1.96356 -0.630009 -0.583815
158 15.75 0.7 0.282275 0.367936 0.404853 -1.04525 -0.00562477 -0.431076
159 15.85 0.8 0.488028 0.780296 1.05543 0.501408 -0.968201 -0.057403
160 15.95 0.8 2.25121 0.792323 0.779665 -0.654768 -0.370001 -0.379787
161 16.05 0.5 0.425061 0.679219 0.237013 -1.27177 -0.968371 -0.578058
162 16.15 1 0.353506 0.37359 0.296093 -1.66389 -0.361776 -0.750323
163 16.25 0.6 0.263939 0.638369 0.354744 -1.11407 -2.00499 -1.05619
164 16.35 0.4 0.662349 0.123237 0.100596 0.240728 -1.45461 -1.24864
165 16.45 0.7 0.900583 0.986602 0.406382 -1.10381 -2.802 -1.60511
166 16.55 1 0.514663 0.95277 0.266137 -1.69773 -2.61951 -1.47368
