# Time-averaged data for fix fa
# TimeStep Number-of-rows
# Row c_pA[1] c_pA[2] c_pA[3] c_pA[4] c_pA[5] c_pA[6] c_pA[7] c_pA[8]
0 360
1 0.05 0 0 0 0 -0.000641643 -0.0298278 -0.0026326
2 0.15 0 0 0 0 -0.000644499 -0.0298307 -0.00263187
3 0.25 0 0 0 0 -0.00065289 -0.0298391 -0.00263232
4 0.35 0.1 0.0121442 0.0145468 0.000655432 -0.000333177 -0.002611 -0.000592351
5 0.45 0 0 0 0 -0.000141801 -0.000141801 -0.000383467
6 0.55 0 0 0 0 -0.000150862 -0.000150862 -0.000383125
7 0.65 0 0 0 0 -0.000144369 -0.000144369 -0.000383269
8 0.75 0 0 0 0 -0.000147238 -0.000147238 -0.000383322
9 0.85 0 0 0 0 -0.000144681 -0.000144681 -0.000383015
10 0.95 0 0 0 0 -0.000144893 -0.000144893 -0.000383733
11 1.05 0 0 0 0 -0.00014516 -0.00014516 -0.000381668
12 1.15 0 0 0 0 -0.000142176 -0.000142176 -0.000385744
13 1.25 0 0 0 0 -0.000146245 -0.000146245 -0.000380434
14 1.35 0 0 0 0 -0.000138254 -0.000138254 -0.000385558
15 1.45 0 0 0 0 -0.000149191 -0.000149191 -0.000380852
16 1.55 0 0 0 0 -0.000127826 -0.000127826 -0.000385984
17 1.65 0.1 0.0225898 0.129296 0.000319121 -0.00185309 -0.000514955 -0.00098386
18 1.75 0 0 0 0 -0.0186909 -0.00281909 -0.00728313
19 1.85 0 0 0 0 -0.0186596 -0.00278775 -0.00728014
20 1.95 0 0 0 0 -0.0186566 -0.0027848 -0.00728159
21 2.05 0 0 0 0 -0.0186655 -0.00279364 -0.00728131
22 2.15 0 0 0 0 -0.0186451 -0.0027733 -0.00728032
23 2.25 0 0 0 0 -0.018677 -0.0028052 -0.00728287
24 2.35 0 0 0 0 -0.0185999 -0.00272801 -0.00727791
25 2.45 0.2 0.0500448 0.184761 0.0992179 -0.00978445 -0.00347346 -0.00266677
26 2.55 0 0 0 0 -0.00462509 -0.0060927 -0.00134883
27 2.65 0.1 9.93692e-05 0.0728576 0.0643339 -0.00476097 -0.00622858 -0.00136028
28 2.75 0 0 0 0 -0.00465494 -0.00612255 -0.00136512
29 2.85 0.1 0.0981896 0.00261378 0.255527 -0.00461782 -0.00608543 -0.00138934
30 2.95 0 0 0 0 -0.00445041 -0.00591802 -0.00137716
31 3.05 0.1 0.0516692 0.0144246 0.000150863 -0.019928 -0.00348992 -0.00787364
32 3.15 0 0 0 0 -0.0292263 -0.00162164 -0.0119101
33 3.25 0 0 0 0 -0.029249 -0.00164439 -0.0119071
34 3.35 0 0 0 0 -0.0292408 -0.00163615 -0.0119095
35 3.45 0 0 0 0 -0.029246 -0.00164137 -0.0119069
36 3.55 0 0 0 0 -0.0292434 -0.00163876 -0.0119105
37 3.65 0 0 0 0 -0.0292476 -0.00164298 -0.0119047
38 3.75 0.1 0.0374704 0.016307 0.0415861 -0.00793782 -0.000678174 -0.00351587
39 3.85 0 0 0 0 -0.000132481 -0.000132481 -0.000497342
40 3.95 0 0 0 0 -0.000140788 -0.000140788 -0.000492085
41 4.05 0 0 0 0 -0.000139366 -0.000139366 -0.000494571
42 4.15 0 0 0 0 -0.000139521 -0.000139521 -0.000493714
43 4.25 0 0 0 0 -0.000140053 -0.000140053 -0.000493151
44 4.35 0 0 0 0 -0.000139408 -0.000139408 -0.000495097
45 4.45 0 0 0 0 -0.000139893 -0.000139893 -0.000491813
46 4.55 0 0 0 0 -0.00013965 -0.00013965 -0.000496526
47 4.65 0 0 0 0 -0.000139285 -0.000139285 -0.000490206
48 4.75 0 0 0 0 -0.000140187 -0.000140187 -0.000498339
49 4.85 0 0 0 0 -0.000138328 -0.000138328 -0.000488066
50 4.95 0 0 0 0 -0.000141083 -0.000141083 -0.000500825
51 5.05 0 0 0 0 -0.000136978 -0.000136978 -0.000485812
52 5.15 0 0 0 0 -0.000142589 -0.000142589 -0.000502377
53 5.25 0 0 0 0 -0.000135141 -0.000135141 -0.000484591
54 5.35 0 0 0 0 -0.000145676 -0.000145676 -0.000503446
55 5.45 0 0 0 0 -0.000146991 -0.000146991 -0.000487831
56 5.55 0.1 0.0368672 0.0587412 0.0137785 -0.000346298 -0.000396696 -0.000845119
57 5.65 0 0 0 0 -0.000259621 -0.000314906 -0.00085714
58 5.75 0 0 0 0 -0.00026306 -0.000318346 -0.00086762
59 5.85 0 0 0 0 -0.000255329 -0.000310615 -0.000850005
60 5.95 0 0 0 0 -0.000265939 -0.000321224 -0.000873196
61 6.05 0 0 0 0 -0.000250616 -0.000305901 -0.00084366
62 6.15 0 0 0 0 -0.000271942 -0.000327227 -0.000882369
63 6.25 0 0 0 0 -0.000233356 -0.000288641 -0.000825176
64 6.35 0.1 0.0528577 0.00583202 0.00287745 -0.000757314 -0.000919988 -0.00454277
65 6.45 0 0 0 0 -0.00074076 -0.000945973 -0.00598321
66 6.55 0 0 0 0 -0.000729541 -0.000934754 -0.00594419
67 6.65 0 0 0 0 -0.000737422 -0.000942634 -0.0059647
68 6.75 0 0 0 0 -0.000730762 -0.000935974 -0.00595001
69 6.85 0 0 0 0 -0.000737196 -0.000942409 -0.00596359
70 6.95 0 0 0 0 -0.000729017 -0.00093423 -0.0059484
71 7.05 0 0 0 0 -0.000740584 -0.000945796 -0.00596827
72 7.15 0 0 0 0 -0.000717787 -0.000923 -0.00593614
73 7.25 0.1 0.0642353 0.0622831 0.000464229 -0.00312247 -0.00164951 -0.00763351
74 7.35 0 0 0 0 -0.0455821 -0.0100708 -0.036072
75 7.45 0 0 0 0 -0.0455661 -0.0100548 -0.0361071
76 7.55 0 0 0 0 -0.0455814 -0.0100701 -0.0360954
77 7.65 0.1 0.0255819 0.00612694 0.70158 -0.0363565 -0.0190282 -0.0448931
78 7.75 0.2 0.0548431 0.297027 0.161426 -0.0741418 -0.0471496 -0.0687975
79 7.85 0 0 0 0 -0.184809 -0.072296 -0.0912334
80 7.95 0.1 0.29004 0.00265768 0.0650769 -0.187982 -0.0774342 -0.0930926
81 8.05 0.2 0.00897522 0.0723619 0.293836 -0.0743677 -0.21511 -0.136707
82 8.15 0.2 0.0150978 0.491299 0.0171472 -0.0759672 -0.118123 -0.16451
83 8.25 0 0 0 0 -0.107599 -0.173177 -0.244536
84 8.35 0.1 0.0479231 0.127154 0.00815483 -0.126081 -0.160034 -0.25201
85 8.45 0.2 0.0516069 0.0277107 0.294603 -0.262814 -0.378918 -0.253599
86 8.55 0 0 0 0 -0.225509 -0.172949 -0.272246
87 8.65 0 0 0 0 -0.225265 -0.172705 -0.272016
88 8.75 0.3 0.316434 0.23666 0.794797 -0.18083 -0.414179 -0.309072
89 8.85 0 0 0 0 -0.139418 -0.184937 -0.325086
90 8.95 0.1 0.000239719 0.619886 0.195114 -0.140861 -0.202345 -0.326086
91 9.05 0.3 0.504459 0.109776 0.0334939 1.09635 -0.14944 -0.199842
92 9.15 0.3 0.108821 0.20794 0.324065 0.360142 -0.255784 0.0353418
93 9.25 0.3 0.16228 0.364021 0.225936 -0.168967 -0.366126 0.0160177
94 9.35 0.1 0.142158 0.0245461 0.0556316 -0.140732 -0.324032 0.065102
95 9.45 0.4 0.156749 0.0888554 0.201244 -0.36288 -0.447131 0.0586653
96 9.55 0.3 0.142514 0.159553 0.389702 -0.715824 -0.391726 -0.0127932
97 9.65 0.5 0.669993 0.240097 0.35776 -0.502699 -0.460821 -0.0817142
98 9.75 0.2 0.159481 0.0565792 0.00434283 -0.452508 -0.782439 -0.130008
99 9.85 0.6 0.408606 0.5203 0.424185 -0.812135 -1.69749 -0.432177
100 9.95 0.8 0.673066 0.326246 0.216187 -0.758147 0.0667823 -0.475497
101 10.05 0.5 0.32033 0.296998 0.343172 -1.29438 -0.0126426 -0.47961
102 10.15 0.5 0.844266 0.253225 0.371062 -1.48819 -1.1663 -0.551524
103 10.25 0.6 0.431982 0.237776 0.410607 -1.7546 -1.43877 -0.478197
