# Time-averaged data for fix fa
# TimeStep Number-of-rows
# Row c_pA[1] c_pA[2] c_pA[3] c_pA[4] c_pA[5] c_pA[6] c_pA[7] c_pA[8]
0 360
1 0.05 0 0 0 0 -0.000641587 -0.0298244 -0.00263266
2 0.15 0 0 0 0 -0.000644441 -0.0298273 -0.00263193
3 0.25 0 0 0 0 -0.000652826 -0.0298356 -0.00263239
4 0.35 0.1 0.0121442 0.0145468 0.000655431 -0.000333177 -0.0026106 -0.000592349
5 0.45 0 0 0 0 -0.000141801 -0.000141801 -0.00038347
6 0.55 0 0 0 0 -0.000150864 -0.000150864 -0.000383128
7 0.65 0 0 0 0 -0.000144369 -0.000144369 -0.000383272
8 0.75 0 0 0 0 -0.000147238 -0.000147238 -0.000383325
9 0.85 0 0 0 0 -0.000144681 -0.000144681 -0.000383018
10 0.95 0 0 0 0 -0.000144893 -0.000144893 -0.000383737
11 1.05 0 0 0 0 -0.000145159 -0.000145159 -0.000381671
12 1.15 0 0 0 0 -0.000142174 -0.000142174 -0.000385748
13 1.25 0 0 0 0 -0.000146245 -0.000146245 -0.000380436
14 1.35 0 0 0 0 -0.000138252 -0.000138252 -0.000385562
15 1.45 0 0 0 0 -0.000149191 -0.000149191 -0.000380856
16 1.55 0 0 0 0 -0.000127824 -0.000127824 -0.000385987
17 1.65 0.1 0.0225898 0.129297 0.000319121 -0.00185294 -0.000514937 -0.000983808
18 1.75 0 0 0 0 -0.0186911 -0.00281912 -0.00728317
19 1.85 0 0 0 0 -0.0186597 -0.00278778 -0.00728018
20 1.95 0 0 0 0 -0.0186568 -0.00278483 -0.00728163
21 2.05 0 0 0 0 -0.0186656 -0.00279367 -0.00728136
22 2.15 0 0 0 0 -0.0186453 -0.00277333 -0.00728037
23 2.25 0 0 0 0 -0.0186772 -0.00280523 -0.00728291
24 2.35 0 0 0 0 -0.0186 -0.00272804 -0.00727795
25 2.45 0.2 0.0500448 0.18476 0.0992178 -0.00978426 -0.00347328 -0.0026667
26 2.55 0 0 0 0 -0.00462512 -0.00609268 -0.00134882
27 2.65 0.1 9.93693e-05 0.0728575 0.0643339 -0.00476101 -0.00622857 -0.00136027
28 2.75 0 0 0 0 -0.00465497 -0.00612253 -0.00136511
29 2.85 0.1 0.0981897 0.00261378 0.255527 -0.00461786 -0.00608542 -0.00138933
30 2.95 0 0 0 0 -0.00445045 -0.00591801 -0.00137715
31 3.05 0.1 0.0516692 0.0144247 0.000150862 -0.0199281 -0.00348993 -0.00787377
32 3.15 0 0 0 0 -0.0292265 -0.00162163 -0.0119104
33 3.25 0 0 0 0 -0.0292492 -0.00164438 -0.0119074
34 3.35 0 0 0 0 -0.029241 -0.00163614 -0.0119098
35 3.45 0 0 0 0 -0.0292462 -0.00164136 -0.0119072
36 3.55 0 0 0 0 -0.0292436 -0.00163875 -0.0119108
37 3.65 0 0 0 0 -0.0292478 -0.00164297 -0.011905
38 3.75 0.1 0.0374704 0.016307 0.0415861 -0.00793826 -0.000678191 -0.00351611
39 3.85 0 0 0 0 -0.000132483 -0.000132483 -0.000497341
40 3.95 0 0 0 0 -0.000140787 -0.000140787 -0.000492086
41 4.05 0 0 0 0 -0.000139367 -0.000139367 -0.000494569
42 4.15 0 0 0 0 -0.000139521 -0.000139521 -0.000493715
43 4.25 0 0 0 0 -0.000140053 -0.000140053 -0.000493149
44 4.35 0 0 0 0 -0.000139408 -0.000139408 -0.000495098
45 4.45 0 0 0 0 -0.000139893 -0.000139893 -0.000491811
46 4.55 0 0 0 0 -0.00013965 -0.00013965 -0.000496527
47 4.65 0 0 0 0 -0.000139284 -0.000139284 -0.000490204
48 4.75 0 0 0 0 -0.000140187 -0.000140187 -0.000498341
49 4.85 0 0 0 0 -0.000138327 -0.000138327 -0.000488064
50 4.95 0 0 0 0 -0.000141083 -0.000141083 -0.000500826
51 5.05 0 0 0 0 -0.000136977 -0.000136977 -0.000485811
52 5.15 0 0 0 0 -0.000142589 -0.000142589 -0.000502377
53 5.25 0 0 0 0 -0.00013514 -0.00013514 -0.000484591
54 5.35 0 0 0 0 -0.000145675 -0.000145675 -0.000503445
55 5.45 0 0 0 0 -0.000146992 -0.000146992 -0.000487833
56 5.55 0.1 0.0368671 0.0587412 0.0137785 -0.000346301 -0.000396699 -0.000845121
57 5.65 0 0 0 0 -0.000259621 -0.000314906 -0.000857139
58 5.75 0 0 0 0 -0.00026306 -0.000318345 -0.000867616
59 5.85 0 0 0 0 -0.000255331 -0.000310615 -0.000850005
60 5.95 0 0 0 0 -0.000265937 -0.000321222 -0.00087319
61 6.05 0 0 0 0 -0.000250619 -0.000305904 -0.000843664
62 6.15 0 0 0 0 -0.000271938 -0.000327223 -0.000882359
63 6.25 0 0 0 0 -0.000233365 -0.000288649 -0.000825185
64 6.35 0.1 0.0528577 0.00583203 0.00287743 -0.000757317 -0.00091999 -0.00454285
65 6.45 0 0 0 0 -0.000740755 -0.000945959 -0.00598315
66 6.55 0 0 0 0 -0.000729528 -0.000934733 -0.00594411
67 6.65 0 0 0 0 -0.00073742 -0.000942625 -0.00596465
68 6.75 0 0 0 0 -0.000730745 -0.00093595 -0.00594993
69 6.85 0 0 0 0 -0.000737198 -0.000942402 -0.00596355
70 6.95 0 0 0 0 -0.000728996 -0.000934201 -0.00594832
71 7.05 0 0 0 0 -0.00074059 -0.000945794 -0.00596823
72 7.15 0 0 0 0 -0.00071776 -0.000922964 -0.00593605
73 7.25 0.1 0.0642353 0.062283 0.000464228 -0.00312307 -0.00164964 -0.00763388
74 7.35 0 0 0 0 -0.0455811 -0.0100707 -0.0360718
75 7.45 0 0 0 0 -0.0455652 -0.0100547 -0.0361069
76 7.55 0 0 0 0 -0.0455804 -0.01007 -0.0360951
77 7.65 0.1 0.0255819 0.00612696 0.701582 -0.0363567 -0.0190276 -0.0448923
78 7.75 0.2 0.0548431 0.297028 0.161427 -0.0741396 -0.0471484 -0.0687961
79 7.85 0 0 0 0 -0.184809 -0.0722966 -0.0912335
80 7.95 0.1 0.290041 0.00265768 0.0650768 -0.187981 -0.0774344 -0.0930924
81 8.05 0.2 0.00897522 0.072362 0.293835 -0.074373 -0.215113 -0.136708
82 8.15 0.2 0.0150978 0.491298 0.0171472 -0.0759659 -0.118121 -0.164508
83 8.25 0 0 0 0 -0.107599 -0.173178 -0.244537
84 8.35 0.1 0.0479231 0.127155 0.00815485 -0.12608 -0.160035 -0.25201
85 8.45 0.2 0.051607 0.0277107 0.294602 -0.262813 -0.378917 -0.2536
86 8.55 0 0 0 0 -0.22551 -0.172949 -0.272245
87 8.65 0 0 0 0 -0.225266 -0.172705 -0.272015
88 8.75 0.3 0.316435 0.23666 0.794799 -0.180827 -0.414182 -0.309072
89 8.85 0 0 0 0 -0.139412 -0.184934 -0.325085
90 8.95 0.1 0.000239719 0.619886 0.195113 -0.140854 -0.202344 -0.326085
91 9.05 0.3 0.50446 0.109776 0.0334939 1.09633 -0.149404 -0.19983
92 9.15 0.3 0.108821 0.207941 0.324063 0.36018 -0.255762 0.0353597
93 9.25 0.3 0.16228 0.364021 0.225935 -0.168976 -0.366123 0.0160433
94 9.35 0.1 0.142158 0.0245461 0.0556316 -0.14075 -0.324035 0.0651152
95 9.45 0.4 0.156749 0.0888554 0.201244 -0.362884 -0.447124 0.0586686
96 9.55 0.3 0.142514 0.159553 0.389702 -0.715841 -0.39171 -0.0128553
97 9.65 0.5 0.669993 0.240098 0.35776 -0.502735 -0.460766 -0.0818129
98 9.75 0.2 0.159481 0.0565791 0.00434282 -0.452557 -0.782407 -0.130139
99 9.85 0.6 0.408606 0.5203 0.424187 -0.812211 -1.6975 -0.432399
100 9.95 0.8 0.673066 0.326248 0.216186 -0.758395 0.0663377 -0.475937
101 10.05 0.5 0.320328 0.297 0.343172 -1.29466 -0.0130171 -0.480166
102 10.15 0.5 0.844266 0.253226 0.371061 -1.48866 -1.16594 -0.55204
103 10.25 0.6 0.431983 0.237776 0.410607 -1.75483 -1.43861 -0.478803
104 10.35 0.5 0.811556 0.209258 0.679105 -1.69167 -0.847943 -0.279219
105 10.45 0.6 0.2717 0.207237 0.205263 -1.75366 -1.51743 0.0890034
106 10.55 0.5 0.616692 0.60583 0.464928 -1.79029 -1.6243 0.0439193
107 10.65 1 1.23219 0.288387 0.295041 -2.72855 -1.96479 0.447665
