# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pfull[1] c_pfull[2] c_pfull[3] c_pfull[4] c_pfull[5] c_pfull[6] c_pfull[7] c_pfull[8]
0 395
1 0.0300494 0 0 0 0 -0.214798 -0.214798 -0.182369
2 0.0901482 0 0 0 0 -0.212755 -0.212755 -0.182293
3 0.150247 0 0 0 0 -0.210713 -0.210713 -0.182172
4 0.210346 0 0 0 0 -0.208675 -0.208675 -0.182005
5 0.270445 0 0 0 0 -0.206645 -0.206645 -0.181793
6 0.330543 0 0 0 0 -0.204625 -0.204625 -0.181537
7 0.390642 0 0 0 0 -0.20262 -0.20262 -0.181237
8 0.450741 0 0 0 0 -0.200631 -0.200631 -0.180895
9 0.51084 0 0 0 0 -0.198661 -0.198661 -0.18051
10 0.570939 0 0 0 0 -0.196713 -0.196713 -0.180084
11 0.631037 0 0 0 0 -0.194788 -0.194788 -0.179617
12 0.691136 0 0 0 0 -0.192888 -0.192888 -0.179111
13 0.751235 0 0 0 0 -0.191014 -0.191014 -0.178566
14 0.811334 0 0 0 0 -0.189169 -0.189169 -0.177982
15 0.871433 0 0 0 0 -0.187352 -0.187352 -0.177362
16 0.931531 0 0 0 0 -0.185566 -0.185566 -0.176706
17 0.99163 0 0 0 0 -0.18381 -0.18381 -0.176014
18 1.05173 0 0 0 0 -0.182086 -0.182086 -0.175288
19 1.11183 0 0 0 0 -0.180394 -0.180394 -0.174529
20 1.17193 0 0 0 0 -0.178733 -0.178733 -0.173738
21 1.23203 0 0 0 0 -0.177104 -0.177104 -0.172915
22 1.29212 0 0 0 0 -0.175508 -0.175508 -0.172062
23 1.35222 0 0 0 0 -0.173943 -0.173943 -0.171179
24 1.41232 0 0 0 0 -0.172409 -0.172409 -0.170268
25 1.47242 0 0 0 0 -0.170907 -0.170907 -0.16933
26 1.53252 0 0 0 0 -0.169435 -0.169435 -0.168366
27 1.59262 0 0 0 0 -0.167994 -0.167994 -0.167376
28 1.65272 0 0 0 0 -0.166581 -0.166581 -0.166361
29 1.71282 0 0 0 0 -0.165197 -0.165197 -0.165324
30 1.77291 0 0 0 0 -0.16384 -0.16384 -0.164264
31 1.83301 0 0 0 0 -0.16251 -0.16251 -0.163183
32 1.89311 0 0 0 0 -0.161205 -0.161205 -0.162082
33 1.95321 0 0 0 0 -0.159925 -0.159925 -0.160962
34 2.01331 0 0 0 0 -0.158668 -0.158668 -0.159824
35 2.07341 0 0 0 0 -0.157434 -0.157434 -0.158669
36 2.13351 0 0 0 0 -0.15622 -0.15622 -0.157499
37 2.19361 0 0 0 0 -0.155026 -0.155026 -0.156314
38 2.25371 0 0 0 0 -0.153851 -0.153851 -0.155115
39 2.3138 0 0 0 0 -0.152693 -0.152693 -0.153904
40 2.3739 0 0 0 0 -0.151551 -0.151551 -0.152682
41 2.434 0 0 0 0 -0.150423 -0.150423 -0.151449
42 2.4941 0 0 0 0 -0.149308 -0.149308 -0.150208
43 2.5542 0 0 0 0 -0.148205 -0.148205 -0.148959
44 2.6143 0 0 0 0 -0.147113 -0.147113 -0.147704
45 2.6744 0 0 0 0 -0.14603 -0.14603 -0.146443
46 2.7345 0 0 0 0 -0.144955 -0.144955 -0.145177
47 2.79459 0 0 0 0 -0.143887 -0.143887 -0.143909
48 2.85469 0 0 0 0 -0.142824 -0.142824 -0.142639
49 2.91479 0 0 0 0 -0.141765 -0.141765 -0.141368
50 2.97489 0 0 0 0 -0.14071 -0.14071 -0.140098
51 3.03499 0 0 0 0 -0.139656 -0.139656 -0.138829
52 3.09509 0 0 0 0 -0.138604 -0.138604 -0.137562
53 3.15519 0 0 0 0 -0.137551 -0.137551 -0.1363
54 3.21529 0 0 0 0 -0.136497 -0.136497 -0.135042
55 3.27538 0 0 0 0 -0.135441 -0.135441 -0.13379
56 3.33548 0 0 0 0 -0.134383 -0.134383 -0.132545
57 3.39558 0 0 0 0 -0.133321 -0.133321 -0.131307
58 3.45568 0 0 0 0 -0.132255 -0.132255 -0.130079
59 3.51578 0 0 0 0 -0.131184 -0.131184 -0.12886
60 3.57588 0 0 0 0 -0.130108 -0.130108 -0.127652
61 3.63598 0 0 0 0 -0.129027 -0.129027 -0.126455
62 3.69608 0 0 0 0 -0.127939 -0.127939 -0.12527
63 3.75618 0 0 0 0 -0.126846 -0.126846 -0.124098
64 3.81627 0 0 0 0 -0.125746 -0.125746 -0.12294
65 3.87637 0 0 0 0 -0.12464 -0.12464 -0.121796
66 3.93647 0 0 0 0 -0.123528 -0.123528 -0.120667
67 3.99657 0 0 0 0 -0.122409 -0.122409 -0.119553
68 4.05667 0 0 0 0 -0.121285 -0.121285 -0.118455
69 4.11677 0 0 0 0 -0.120155 -0.120155 -0.117372
70 4.17687 0 0 0 0 -0.11902 -0.11902 -0.116307
71 4.23697 0 0 0 0 -0.11788 -0.11788 -0.115258
72 4.29706 0 0 0 0 -0.116736 -0.116736 -0.114227
73 4.35716 0 0 0 0 -0.115588 -0.115588 -0.113212
74 4.41726 0 0 0 0 -0.114438 -0.114438 -0.112215
75 4.47736 0 0 0 0 -0.113285 -0.113285 -0.111236
76 4.53746 0 0 0 0 -0.112131 -0.112131 -0.110274
77 4.59756 0 0 0 0 -0.110976 -0.110976 -0.10933
78 4.65766 0 0 0 0 -0.109821 -0.109821 -0.108403
79 4.71776 0 0 0 0 -0.108668 -0.108668 -0.107493
80 4.77786 0 0 0 0 -0.107517 -0.107517 -0.106601
81 4.83795 0 0 0 0 -0.106369 -0.106369 -0.105726
82 4.89805 0 0 0 0 -0.105225 -0.105225 -0.104867
83 4.95815 0 0 0 0 -0.104087 -0.104087 -0.104025
84 5.01825 0 0 0 0 -0.102954 -0.102954 -0.1032
85 5.07835 0 0 0 0 -0.101829 -0.101829 -0.10239
86 5.13845 0 0 0 0 -0.100712 -0.100712 -0.101596
87 5.19855 0 0 0 0 -0.0996035 -0.0996035 -0.100817
88 5.25865 0 0 0 0 -0.0985054 -0.0985054 -0.100053
89 5.31874 0 0 0 0 -0.0974183 -0.0974183 -0.0993035
90 5.37884 0 0 0 0 -0.0963432 -0.0963432 -0.0985681
91 5.43894 0 0 0 0 -0.0952809 -0.0952809 -0.0978463
92 5.49904 0 0 0 0 -0.0942322 -0.0942322 -0.0971377
93 5.55914 0 0 0 0 -0.0931979 -0.0931979 -0.0964418
94 5.61924 0 0 0 0 -0.0921789 -0.0921789 -0.0957581
95 5.67934 0 0 0 0 -0.0911757 -0.0911757 -0.0950864
96 5.73944 0 0 0 0 -0.0901892 -0.0901892 -0.094426
97 5.79953 0 0 0 0 -0.0892198 -0.0892198 -0.0937765
98 5.85963 0 0 0 0 -0.0882682 -0.0882682 -0.0931375
99 5.91973 0 0 0 0 -0.0873349 -0.0873349 -0.0925085
100 5.97983 0 0 0 0 -0.0864202 -0.0864202 -0.0918891
101 6.03993 0 0 0 0 -0.0855247 -0.0855247 -0.0912789
102 6.10003 0 0 0 0 -0.0846487 -0.0846487 -0.0906774
103 6.16013 0 0 0 0 -0.0837925 -0.0837925 -0.0900843
104 6.22023 0 0 0 0 -0.0829562 -0.0829562 -0.0894991
105 6.28033 0 0 0 0 -0.0821402 -0.0821402 -0.0889215
106 6.34042 0 0 0 0 -0.0813444 -0.0813444 -0.088351
107 6.40052 0 0 0 0 -0.0805692 -0.0805692 -0.0877874
108 6.46062 0 0 0 0 -0.0798144 -0.0798144 -0.0872303
109 6.52072 0 0 0 0 -0.0790801 -0.0790801 -0.0866794
110 6.58082 0 0 0 0 -0.0783662 -0.0783662 -0.0861343
111 6.64092 0 0 0 0 -0.0776727 -0.0776727 -0.0855948
112 6.70102 0 0 0 0 -0.0769995 -0.0769995 -0.0850605
113 6.76112 0 0 0 0 -0.0763462 -0.0763462 -0.0845314
114 6.82121 0 0 0 0 -0.0757129 -0.0757129 -0.084007
115 6.88131 0 0 0 0 -0.0750992 -0.0750992 -0.0834872
116 6.94141 0 0 0 0 -0.0745049 -0.0745049 -0.0829718
117 7.00151 0 0 0 0 -0.0739296 -0.0739296 -0.0824605
118 7.06161 0 0 0 0 -0.0733731 -0.0733731 -0.0819533
119 7.12171 0 0 0 0 -0.0728351 -0.0728351 -0.08145
120 7.18181 0 0 0 0 -0.072315 -0.072315 -0.0809505
121 7.24191 0 0 0 0 -0.0718126 -0.0718126 -0.0804545
122 7.302 0 0 0 0 -0.0713274 -0.0713274 -0.0799622
123 7.3621 0 0 0 0 -0.0708591 -0.0708591 -0.0794733
124 7.4222 0 0 0 0 -0.070407 -0.070407 -0.0789878
125 7.4823 0 0 0 0 -0.0699708 -0.0699708 -0.0785056
126 7.5424 0 0 0 0 -0.06955 -0.06955 -0.0780269
