# Chunk-averaged data for fix dens and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 238 2000.0000000000007
  1 0.05 0.935 0.066366
  2 0.15 0.955 0.0677856
  3 0.25 0.915 0.0649464
  4 0.35 0.91 0.0645915
  5 0.45 1.025 0.0727542
  6 0.55 1.005 0.0713346
  7 0.65 0.915 0.0649464
  8 0.75 1.02 0.0723993
  9 0.85 1.005 0.0713346
  10 0.95 1.095 0.0777228
  11 1.05 1.3 0.0922736
  12 1.15 1.285 0.0912089
  13 1.25 1.58 0.112148
  14 1.35 1.395 0.0990167
  15 1.45 1.525 0.108244
  16 1.55 1.56 0.110728
  17 1.65 1.525 0.108244
  18 1.75 1.52 0.107889
  19 1.85 1.62 0.114987
  20 1.95 1.835 0.130248
  21 2.05 2.125 0.150832
  22 2.15 2.22 0.157575
  23 2.25 2.555 0.181353
  24 2.35 2.87 0.203712
  25 2.45 3.015 0.214004
  26 2.55 3.11 0.220747
  27 2.65 3.22 0.228555
  28 2.75 3.465 0.245945
  29 2.85 4.425 0.314085
  30 2.95 4.5 0.319409
  31 3.05 4.875 0.346026
  32 3.15 4.945 0.350995
  33 3.25 5.17 0.366965
  34 3.35 5.625 0.399261
  35 3.45 5.975 0.424104
  36 3.55 6.09 0.432266
  37 3.65 6.43 0.456399
  38 3.75 6.385 0.453205
  39 3.85 7.235 0.513538
  40 3.95 7.485 0.531283
  41 4.05 7.05 0.500407
  42 4.15 7.475 0.530573
  43 4.25 7.875 0.558965
  44 4.35 8.23 0.584163
  45 4.45 8.405 0.596584
  46 4.55 8.74 0.620363
  47 4.65 8.92 0.633139
  48 4.75 8.435 0.598714
  49 4.85 9.46 0.671468
  50 4.95 9.44 0.670048
  51 5.05 9.145 0.649109
  52 5.15 9.34 0.66295
  53 5.25 9.665 0.686019
  54 5.35 9.98 0.708377
  55 5.45 9.995 0.709442
  56 5.55 9.785 0.694536
  57 5.65 10.34 0.73393
  58 5.75 10.075 0.71512
  59 5.85 10.465 0.742802
  60 5.95 10.635 0.754869
  61 6.05 10.31 0.731801
  62 6.15 10.405 0.738544
  63 6.25 10.65 0.755934
  64 6.35 10.945 0.776873
  65 6.45 10.76 0.763742
  66 6.55 10.99 0.780067
  67 6.65 11.145 0.791069
  68 6.75 11.105 0.78823
  69 6.85 10.995 0.780422
  70 6.95 11.105 0.78823
  71 7.05 11.24 0.797812
  72 7.15 11.255 0.798876
  73 7.25 11.55 0.819815
  74 7.35 11.425 0.810943
  75 7.45 11.665 0.827978
  76 7.55 11.595 0.82301
  77 7.65 11.975 0.849982
  78 7.75 11.335 0.804555
  79 7.85 11.465 0.813782
  80 7.95 11.475 0.814492
  81 8.05 12.025 0.853531
  82 8.15 11.605 0.823719
  83 8.25 11.71 0.831172
  84 8.35 12.2 0.865952
  85 8.45 12.045 0.85495
  86 8.55 11.93 0.846788
  87 8.65 12.025 0.853531
  88 8.75 11.775 0.835786
  89 8.85 12.04 0.854596
  90 8.95 12.325 0.874825
  91 9.05 11.945 0.847852
  92 9.15 12.5 0.887246
  93 9.25 12.255 0.869856
  94 9.35 11.86 0.841819
  95 9.45 11.845 0.840754
  96 9.55 12.835 0.911024
  97 9.65 12.6 0.894344
  98 9.75 12.33 0.87518
  99 9.85 12.605 0.894699
  100 9.95 12.425 0.881923
  101 10.05 12.305 0.873405
  102 10.15 12.38 0.878729
  103 10.25 12.325 0.874825
  104 10.35 12.35 0.876599
  105 10.45 12.61 0.895054
  106 10.55 12.615 0.895409
  107 10.65 12.625 0.896119
  108 10.75 12.53 0.889376
  109 10.85 12.745 0.904636
  110 10.95 12.785 0.907475
  111 11.05 12.22 0.867372
  112 11.15 12.3 0.87305
  113 11.25 12.39 0.879438
  114 11.35 12.695 0.901087
  115 11.45 13.08 0.928414
  116 11.55 12.58 0.892925
  117 11.65 13.04 0.925575
  118 11.75 12.905 0.915993
  119 11.85 12.72 0.902862
  120 11.95 12.205 0.866307
  121 12.05 12.055 0.85566
  122 12.15 12.44 0.882987
  123 12.25 12.19 0.865242
  124 12.35 12.81 0.90925
  125 12.45 12.91 0.916348
  126 12.55 12.78 0.90712
  127 12.65 12.76 0.905701
  128 12.75 12.785 0.907475
  129 12.85 12.41 0.880858
  130 12.95 12.295 0.872695
  131 13.05 11.79 0.836851
  132 13.15 12.445 0.883342
  133 13.25 12.775 0.906766
  134 13.35 12.46 0.884407
  135 13.45 12.66 0.898603
  136 13.55 12.765 0.906056
  137 13.65 12.605 0.894699
  138 13.75 12.36 0.877309
  139 13.85 12.095 0.858499
  140 13.95 12.45 0.883697
  141 14.05 12.035 0.854241
  142 14.15 12.43 0.882278
  143 14.25 12.68 0.900023
  144 14.35 12.19 0.865242
  145 14.45 12.12 0.860274
  146 14.55 12.12 0.860274
  147 14.65 12.265 0.870566
  148 14.75 12.335 0.875535
  149 14.85 11.845 0.840754
  150 14.95 12.5 0.887246
  151 15.05 11.805 0.837915
  152 15.15 11.905 0.845013
  153 15.25 11.815 0.838625
  154 15.35 12.155 0.862758
  155 15.45 12.195 0.865597
  156 15.55 11.575 0.82159
  157 15.65 12.305 0.873405
  158 15.75 11.445 0.812363
  159 15.85 11.875 0.842884
  160 15.95 11.63 0.825494
  161 16.05 11.605 0.823719
  162 16.15 11.725 0.832237
  163 16.25 11 0.780777
  164 16.35 11.175 0.793198
  165 16.45 11.38 0.807749
  166 16.55 11.505 0.816621
  167 16.65 11.28 0.800651
  168 16.75 11.6 0.823364
  169 16.85 10.715 0.760547
  170 16.95 11.39 0.808459
  171 17.05 10.985 0.779712
  172 17.15 10.69 0.758773
  173 17.25 11.01 0.781486
  174 17.35 10.68 0.758063
  175 17.45 10.575 0.75061
  176 17.55 10.595 0.75203
  177 17.65 10.77 0.764451
  178 17.75 10.755 0.763387
  179 17.85 10.285 0.730026
  180 17.95 10.31 0.731801
  181 18.05 9.745 0.691697
  182 18.15 9.94 0.705538
  183 18.25 10.115 0.71796
  184 18.35 10.315 0.732156
  185 18.45 9.45 0.670758
  186 18.55 9.485 0.673242
  187 18.65 8.99 0.638107
  188 18.75 9.11 0.646625
  189 18.85 9.12 0.647335
  190 18.95 8.73 0.619653
  191 19.05 9.055 0.642721
  192 19.15 8.29 0.588422
  193 19.25 8.815 0.625686
  194 19.35 8.265 0.586647
  195 19.45 8.17 0.579904
  196 19.55 7.67 0.544414
  197 19.65 7.725 0.548318
  198 19.75 7.28 0.516732
  199 19.85 6.98 0.495438
  200 19.95 6.7 0.475564
  201 20.05 6.3 0.447172
  202 20.15 6.575 0.466691
  203 20.25 6.01 0.426588
  204 20.35 5.79 0.410972
  205 20.45 5.31 0.376902
  206 20.55 5.125 0.363771
  207 20.65 4.665 0.33112
  208 20.75 4.135 0.293501
  209 20.85 4.055 0.287823
  210 20.95 3.635 0.258011
  211 21.05 3.36 0.238492
  212 21.15 2.91 0.206551
  213 21.25 3.1 0.220037
  214 21.35 2.74 0.194484
  215 21.45 2.66 0.188806
  216 21.55 2.485 0.176385
  217 21.65 2.23 0.158285
  218 21.75 1.985 0.140895
  219 21.85 1.925 0.136636
  220 21.95 1.88 0.133442
  221 22.05 1.75 0.124214
  222 22.15 1.52 0.107889
  223 22.25 1.445 0.102566
  224 22.35 1.29 0.0915638
  225 22.45 1.37 0.0972422
  226 22.55 1.195 0.0848207
  227 22.65 1.25 0.0887246
  228 22.75 1.12 0.0794973
  229 22.85 1.03 0.0731091
  230 22.95 1.135 0.080562
  231 23.05 0.97 0.0688503
  232 23.15 1.07 0.0759483
  233 23.25 1.05 0.0745287
  234 23.35 0.86 0.0610425
  235 23.45 0.97 0.0688503
  236 23.55 0.95 0.0674307
  237 23.65 1.045 0.0741738
  238 23.75 0.285 0.0202292
200000 238 2000.0000000000007
  1 0.05 0.71 0.0503956
  2 0.15 0.85 0.0603327
  3 0.25 0.8 0.0567838
  4 0.35 0.76 0.0539446
