# Time-averaged data for fix fK
# TimeStep Number-of-rows
# Row c_pKS[1] c_pKS[2] c_pKS[3] c_pKS[4] c_pKS[5] c_pKS[6] c_pKS[7] c_pKS[8]
0 360
1 0.05 0 0 0 0 -6.7267e-05 -6.7267e-05 -0.00024077
2 0.15 0 0 0 0 -6.94336e-05 -6.94336e-05 -0.00024152
3 0.25 0 0 0 0 -6.77379e-05 -6.77379e-05 -0.000240814
4 0.35 0 0 0 0 -6.90789e-05 -6.90789e-05 -0.000241498
5 0.45 0 0 0 0 -6.80927e-05 -6.80927e-05 -0.000240961
6 0.55 0 0 0 0 -6.88537e-05 -6.88537e-05 -0.000241265
7 0.65 0 0 0 0 -6.8371e-05 -6.8371e-05 -0.000241176
8 0.75 0 0 0 0 -6.87145e-05 -6.87145e-05 -0.000241101
9 0.85 0 0 0 0 -6.859e-05 -6.859e-05 -0.000241304
10 0.95 0 0 0 0 -6.86403e-05 -6.86403e-05 -0.000241017
11 1.05 0 0 0 0 -6.8744e-05 -6.8744e-05 -0.000241333
12 1.15 0 0 0 0 -6.86366e-05 -6.86366e-05 -0.000241108
13 1.25 0 0 0 0 -6.87906e-05 -6.87906e-05 -0.000241134
14 1.35 0 0 0 0 -6.87522e-05 -6.87522e-05 -0.000241354
15 1.45 0 0 0 0 -6.86142e-05 -6.86142e-05 -0.000240978
16 1.55 0 0 0 0 -6.91305e-05 -6.91305e-05 -0.000241251
17 1.65 0 0 0 0 -6.7678e-05 -6.7678e-05 -0.000241467
18 1.75 0 0 0 0 -7.08186e-05 -7.08186e-05 -0.000240644
19 1.85 0 0 0 0 -5.82759e-05 -5.82759e-05 -0.000241892
20 1.95 0 0 0 0 -0.000296474 -0.000296474 -0.000533289
21 2.05 0 0 0 0 -8.64499e-05 -8.64499e-05 -0.000234715
22 2.15 0 0 0 0 -9.29346e-05 -9.29346e-05 -0.000236519
23 2.25 0 0 0 0 -9.52485e-05 -9.52485e-05 -0.00023553
24 2.35 0 0 0 0 -9.05705e-05 -9.05705e-05 -0.000235589
25 2.45 0 0 0 0 -0.000317157 -0.000317157 -0.000329895
26 2.55 0 0 0 0 -0.000105813 -0.000105813 -0.00024678
27 2.65 0 0 0 0 -8.9009e-05 -8.9009e-05 -0.00024712
28 2.75 0 0 0 0 -8.93004e-05 -8.93004e-05 -0.000247198
29 2.85 0 0 0 0 -8.92888e-05 -8.92888e-05 -0.000246953
30 2.95 0 0 0 0 -8.91972e-05 -8.91972e-05 -0.00024738
31 3.05 0 0 0 0 -8.91932e-05 -8.91932e-05 -0.000246783
32 3.15 0 0 0 0 -8.93794e-05 -8.93794e-05 -0.000247507
33 3.25 0 0 0 0 -8.8996e-05 -8.8996e-05 -0.000246719
34 3.35 0 0 0 0 -8.96939e-05 -8.96939e-05 -0.000247511
35 3.45 0 0 0 0 -8.86664e-05 -8.86664e-05 -0.000246648
36 3.55 0 0 0 0 -9.03502e-05 -9.03502e-05 -0.000247762
37 3.65 0 0 0 0 -8.79413e-05 -8.79413e-05 -0.000246203
38 3.75 0 0 0 0 -9.27539e-05 -9.27539e-05 -0.000248514
39 3.85 0 0 0 0 -8.85664e-05 -8.85664e-05 -0.000244715
40 3.95 0 0 0 0 -0.000452782 -0.000452782 -0.000577228
41 4.05 0 0 0 0 -0.00019017 -0.00019017 -0.00030796
42 4.15 0 0 0 0 -0.000444365 -0.000444365 -0.000637354
43 4.25 0 0 0 0 -0.000129685 -0.000129685 -0.000372112
44 4.35 0 0 0 0 -0.000136368 -0.000136368 -0.000365597
45 4.45 0 0 0 0 -0.000133147 -0.000133147 -0.000370859
46 4.55 0 0 0 0 -0.000133971 -0.000133971 -0.000365924
47 4.65 0 0 0 0 -0.000133758 -0.000133758 -0.000370757
48 4.75 0 0 0 0 -0.000133141 -0.000133141 -0.000366021
49 4.85 0 0 0 0 -0.000134206 -0.000134206 -0.00037078
50 4.95 0 0 0 0 -0.000132534 -0.000132534 -0.00036569
51 5.05 0 0 0 0 -0.000134785 -0.000134785 -0.000371534
52 5.15 0 0 0 0 -0.00013186 -0.00013186 -0.000364727
53 5.25 0 0 0 0 -0.000135821 -0.000135821 -0.000372499
54 5.35 0 0 0 0 -0.000130995 -0.000130995 -0.000363646
55 5.45 0 0 0 0 -0.000138297 -0.000138297 -0.000373831
56 5.55 0 0 0 0 -0.000145267 -0.000145267 -0.000365443
57 5.65 0 0 0 0 -0.000582288 -0.000582288 -0.000713895
58 5.75 0 0 0 0 -0.000301823 -0.000301823 -0.000643933
59 5.85 0 0 0 0 -0.000787063 -0.000787063 -0.00115299
60 5.95 0 0 0 0 -0.000692369 -0.000692369 -0.00180645
61 6.05 0 0 0 0 -0.000386291 -0.000386291 -0.00129431
62 6.15 0 0 0 0 -0.000386851 -0.000386851 -0.00127853
63 6.25 0 0 0 0 -0.000388479 -0.000388479 -0.00129054
64 6.35 0 0 0 0 -0.000386049 -0.000386049 -0.00127897
65 6.45 0 0 0 0 -0.000389153 -0.000389153 -0.00129087
66 6.55 0 0 0 0 -0.000385442 -0.000385442 -0.00127838
67 6.65 0 0 0 0 -0.000389767 -0.000389767 -0.00129143
68 6.75 0 0 0 0 -0.000384803 -0.000384803 -0.00127803
69 6.85 0 0 0 0 -0.000390459 -0.000390459 -0.00129173
70 6.95 0 0 0 0 -0.000383962 -0.000383962 -0.00127763
71 7.05 0 0 0 0 -0.000391573 -0.000391573 -0.00129235
72 7.15 0 0 0 0 -0.000382236 -0.000382236 -0.00127617
73 7.25 0 0 0 0 -0.000394815 -0.000394815 -0.00129581
74 7.35 0 0 0 0 -0.000384375 -0.000384375 -0.00127234
75 7.45 0 0 0 0 -0.00192971 -0.00192971 -0.00493358
76 7.55 0 0 0 0 -0.000889878 -0.000889878 -0.00207891
77 7.65 0 0 0 0 -0.000839104 -0.000839104 -0.00199236
78 7.75 0 0 0 0 -0.000894845 -0.000894845 -0.00207463
79 7.85 0 0 0 0 -0.000798736 -0.000798736 -0.00195927
80 7.95 0 0 0 0 -0.0031811 -0.0031811 -0.00712377
81 8.05 0 0 0 0 -0.00169646 -0.00169646 -0.00291516
82 8.15 0 0 0 0 -0.00154213 -0.00154213 -0.00276893
83 8.25 0 0 0 0 -0.00170732 -0.00170732 -0.00289711
84 8.35 0 0 0 0 -0.00143889 -0.00143889 -0.00272395
85 8.45 0 0 0 0 -0.00897286 -0.00897286 -0.014446
86 8.55 0 0 0 0 -0.0129086 -0.0129086 -0.0160024
87 8.65 0 0 0 0 -0.0192322 -0.0192322 -0.022463
88 8.75 0 0 0 0 -0.0140118 -0.0140118 -0.0144124
89 8.85 0 0 0 0 -0.0105209 -0.0105209 -0.00972869
90 8.95 0 0 0 0 -0.0103948 -0.0103948 -0.00962512
91 9.05 0 0 0 0 -0.0285289 -0.0285289 -0.0318769
92 9.15 0 0 0 0 -0.0151303 -0.0151303 -0.0122921
93 9.25 0 0 0 0 -0.0202202 -0.0202202 -0.0185983
94 9.35 0 0 0 0 -0.0468803 -0.0468803 -0.0406351
95 9.45 0 0 0 0 -0.0473156 -0.0473156 -0.0370708
96 9.55 0 0 0 0 -0.0548971 -0.0548971 -0.0400734
97 9.65 0 0 0 0 -0.0888932 -0.0888932 -0.0660723
98 9.75 0 0 0 0 -0.117306 -0.117306 -0.0894657
99 9.85 0 0 0 0 -0.0742608 -0.0742608 -0.0506002
100 9.95 0 0 0 0 -0.0934994 -0.0934994 -0.0676507
101 10.05 0 0 0 0 -0.0943871 -0.0943871 -0.0635226
102 10.15 0 0 0 0 -0.118801 -0.118801 -0.0824284
103 10.25 0 0 0 0 -0.119749 -0.119749 -0.078136
104 10.35 0 0 0 0 -0.11938 -0.11938 -0.0735985
105 10.45 0 0 0 0 -0.241125 -0.241125 -0.156153
106 10.55 0 0 0 0 -0.219098 -0.219098 -0.136602
107 10.65 0 0 0 0 -0.168893 -0.168893 -0.104507
108 10.75 0 0 0 0 -0.232265 -0.232265 -0.15276
109 10.85 0 0 0 0 -0.215304 -0.215304 -0.145205
110 10.95 0 0 0 0 -0.172287 -0.172287 -0.115917
111 11.05 0 0 0 0 -0.213792 -0.213792 -0.149881
112 11.15 0 0 0 0 -0.219646 -0.219646 -0.156353
113 11.25 0 0 0 0 -0.186368 -0.186368 -0.1289
114 11.35 0 0 0 0 -0.277421 -0.277421 -0.187587
115 11.45 0 0 0 0 -0.322151 -0.322151 -0.215862
116 11.55 0 0 0 0 -0.314408 -0.314408 -0.221398
117 11.65 0 0 0 0 -0.273488 -0.273488 -0.204617
118 11.75 0 0 0 0 -0.258696 -0.258696 -0.202593
119 11.85 0 0 0 0 -0.245103 -0.245103 -0.197244
120 11.95 0 0 0 0 -0.234725 -0.234725 -0.189371
121 12.05 0 0 0 0 -0.296707 -0.296707 -0.244082
122 12.15 0 0 0 0 -0.291319 -0.291319 -0.238985
123 12.25 0 0 0 0 -0.325329 -0.325329 -0.268932
124 12.35 0 0 0 0 -0.336889 -0.336889 -0.274639
125 12.45 0 0 0 0 -0.350136 -0.350136 -0.296616
126 12.55 0 0 0 0 -0.287833 -0.287833 -0.253365
127 12.65 0 0 0 0 -0.304427 -0.304427 -0.272404
128 12.75 0 0 0 0 -0.302327 -0.302327 -0.278707
129 12.85 0 0 0 0 -0.288665 -0.288665 -0.270675
130 12.95 0 0 0 0 -0.300382 -0.300382 -0.291044
131 13.05 0 0 0 0 -0.261423 -0.261423 -0.251182
132 13.15 0 0 0 0 -0.320738 -0.320738 -0.309357
133 13.25 0 0 0 0 -0.313933 -0.313933 -0.294361
134 13.35 0 0 0 0 -0.359851 -0.359851 -0.335125
135 13.45 0 0 0 0 -0.30119 -0.30119 -0.28515
136 13.55 0 0 0 0 -0.318223 -0.318223 -0.3021
137 13.65 0 0 0 0 -0.36511 -0.36511 -0.349207
138 13.75 0 0 0 0 -0.302522 -0.302522 -0.298514
139 13.85 0 0 0 0 -0.29777 -0.29777 -0.301974
140 13.95 0 0 0 0 -0.272943 -0.272943 -0.2753
141 14.05 0 0 0 0 -0.303351 -0.303351 -0.307132
142 14.15 0 0 0 0 -0.35297 -0.35297 -0.347366
143 14.25 0 0 0 0 -0.341315 -0.341315 -0.326677
144 14.35 0 0 0 0 -0.389989 -0.389989 -0.364767
145 14.45 0 0 0 0 -0.299331 -0.299331 -0.289164
146 14.55 0 0 0 0 -0.328537 -0.328537 -0.322624
147 14.65 0 0 0 0 -0.31543 -0.31543 -0.315447
148 14.75 0 0 0 0 -0.361838 -0.361838 -0.366146
149 14.85 0 0 0 0 -0.350719 -0.350719 -0.349091
150 14.95 0 0 0 0 -0.288035 -0.288035 -0.285697
151 15.05 0 0 0 0 -0.385219 -0.385219 -0.36712
152 15.15 0 0 0 0 -0.407285 -0.407285 -0.377924
153 15.25 0 0 0 0 -0.3245 -0.3245 -0.311685
154 15.35 0 0 0 0 -0.30922 -0.30922 -0.299817
155 15.45 0 0 0 0 -0.374903 -0.374903 -0.356926
156 15.55 0 0 0 0 -0.374325 -0.374325 -0.358236
157 15.65 0 0 0 0 -0.360794 -0.360794 -0.346801
158 15.75 0 0 0 0 -0.341632 -0.341632 -0.335528
159 15.85 0 0 0 0 -0.357689 -0.357689 -0.352068
160 15.95 0 0 0 0 -0.313369 -0.313369 -0.307308
161 16.05 0 0 0 0 -0.343687 -0.343687 -0.335348
162 16.15 0 0 0 0 -0.365747 -0.365747 -0.34807
163 16.25 0 0 0 0 -0.415099 -0.415099 -0.389896
164 16.35 0 0 0 0 -0.334565 -0.334565 -0.321756
165 16.45 0 0 0 0 -0.381558 -0.381558 -0.366289
166 16.55 0 0 0 0 -0.368036 -0.368036 -0.356243
167 16.65 0 0 0 0 -0.378173 -0.378173 -0.375332
168 16.75 0 0 0 0 -0.327289 -0.327289 -0.331385
169 16.85 0 0 0 0 -0.295183 -0.295183 -0.300842
170 16.95 0 0 0 0 -0.300217 -0.300217 -0.299689
171 17.05 0 0 0 0 -0.398169 -0.398169 -0.385553
172 17.15 0 0 0 0 -0.411882 -0.411882 -0.387565
173 17.25 0 0 0 0 -0.41078 -0.41078 -0.38975
174 17.35 0 0 0 0 -0.484302 -0.484302 -0.464594
175 17.45 0 0 0 0 -0.286444 -0.286444 -0.28814
176 17.55 0 0 0 0 -0.312581 -0.312581 -0.318967
177 17.65 0 0 0 0 -0.297407 -0.297407 -0.305231
178 17.75 0 0 0 0 -0.378484 -0.378484 -0.380735
179 17.85 0 0 0 0 -0.349372 -0.349372 -0.347454
180 17.95 0 0 0 0 -0.367733 -0.367733 -0.359462
181 18.05 0 0 0 0 -0.401012 -0.401012 -0.387468
182 18.15 0 0 0 0 -0.339981 -0.339981 -0.330008
183 18.25 0 0 0 0 -0.355163 -0.355163 -0.343976
184 18.35 0 0 0 0 -0.415812 -0.415812 -0.40284
185 18.45 0 0 0 0 -0.337164 -0.337164 -0.331906
186 18.55 0 0 0 0 -0.362703 -0.362703 -0.363435
