# Time-averaged data for fix fS
# TimeStep Number-of-rows
# Row c_pSR[1] c_pSR[2] c_pSR[3] c_pSR[4] c_pSR[5] c_pSR[6] c_pSR[7] c_pSR[8]
0 360
1 0.05 0 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0 0
16 1.55 0 0 0 0 0 0 0
17 1.65 0 0 0 0 0 0 0
18 1.75 0 0 0 0 0 0 0
19 1.85 0 0 0 0 0 0 0
20 1.95 0.1 0.00263238 0.00943252 0.000848495 0 0 0
21 2.05 0 0 0 0 0 0 0
22 2.15 0 0 0 0 0 0 0
23 2.25 0 0 0 0 0 0 0
24 2.35 0 0 0 0 0 0 0
25 2.45 0.1 0.0142219 0.0567931 0.0169821 -1.51664e-06 -1.50467e-05 -9.63778e-06
26 2.55 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
27 2.65 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
28 2.75 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
29 2.85 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
30 2.95 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
31 3.05 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
32 3.15 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
33 3.25 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
34 3.35 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
35 3.45 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
36 3.55 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
37 3.65 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
38 3.75 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
39 3.85 0 0 0 0 -2.43051e-05 -0.000241134 -0.000154452
40 3.95 0.1 0.0459421 0.0109009 0.101427 -0.0203361 -0.0830294 -0.00199458
41 4.05 0 0 0 0 -0.0266872 -0.108916 -0.00256995
42 4.15 0.1 6.43358e-05 0.0543858 0.00489126 -0.00153985 -0.00628443 -0.000148286
43 4.25 0 0 0 0 0 0 0
44 4.35 0 0 0 0 0 0 0
45 4.45 0 0 0 0 0 0 0
46 4.55 0 0 0 0 0 0 0
47 4.65 0 0 0 0 0 0 0
48 4.75 0 0 0 0 0 0 0
49 4.85 0 0 0 0 0 0 0
50 4.95 0 0 0 0 0 0 0
51 5.05 0 0 0 0 0 0 0
52 5.15 0 0 0 0 0 0 0
53 5.25 0 0 0 0 0 0 0
54 5.35 0 0 0 0 0 0 0
55 5.45 0 0 0 0 0 0 0
56 5.55 0 0 0 0 0 0 0
57 5.65 0.1 0.000992956 0.00477012 0.0447561 -4.53889e-07 -1.13318e-06 -9.91335e-05
58 5.75 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
59 5.85 0.1 2.79177e-05 0.000212838 0.0914104 -0.0131534 -3.4927e-06 -0.000136202
60 5.95 0.1 0.0568088 0.00552631 0.00170639 -0.00217638 -1.64052e-06 -0.000115502
61 6.05 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
62 6.15 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
63 6.25 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
64 6.35 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
65 6.45 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
66 6.55 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
67 6.65 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
68 6.75 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
69 6.85 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
70 6.95 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
71 7.05 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
72 7.15 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
73 7.25 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
74 7.35 0 0 0 0 -5.10045e-07 -1.27338e-06 -0.000111398
75 7.45 0.1 0.0366226 0.0180124 0.0206862 -0.00961797 -0.00793233 -0.0231705
76 7.55 0 0 0 0 -0.0115669 -0.00953952 -0.0278434
77 7.65 0 0 0 0 -0.0115669 -0.00953952 -0.0278434
78 7.75 0 0 0 0 -0.0115669 -0.00953952 -0.0278434
79 7.85 0 0 0 0 -0.0115669 -0.00953952 -0.0278434
80 7.95 0.1 0.000218687 0.100697 0.15297 -0.0250516 -0.0198939 -0.0268365
81 8.05 0 0 0 0 -0.0380438 -0.0298701 -0.0258665
82 8.15 0 0 0 0 -0.0380438 -0.0298701 -0.0258665
83 8.25 0 0 0 0 -0.0380438 -0.0298701 -0.0258665
84 8.35 0 0 0 0 -0.0380438 -0.0298701 -0.0258665
85 8.45 0.2 0.215328 0.182369 0.26436 1.52464 0.197379 -0.0520661
86 8.55 0.2 0.04608 0.173785 0.0434621 -0.395871 -0.278066 -0.162319
87 8.65 0.3 0.0900173 0.0384009 0.561055 -0.465176 -0.316866 -0.248377
88 8.75 0.1 0.150251 0.287581 0.029395 -0.414197 -0.299209 -0.357282
89 8.85 0 0 0 0 -0.24258 -0.246211 -0.403366
90 8.95 0 0 0 0 -0.24258 -0.246211 -0.403366
91 9.05 0.3 0.200941 0.0185972 0.406324 -0.487493 -0.335795 -0.482415
92 9.15 0 0 0 0 -0.307457 -0.361665 -0.521316
93 9.25 0.1 0.155516 0.0382894 0.129241 -0.312214 -0.354289 -0.51104
94 9.35 0.4 0.142143 0.0922476 0.610847 0.161684 1.6968 -0.525056
95 9.45 0.3 0.00201238 0.0305607 0.293824 0.286212 -0.857717 -0.644535
96 9.55 0.3 0.162648 0.0272218 0.145026 -0.976378 -0.96975 -0.707937
97 9.65 0.6 0.56048 0.0631205 0.734929 -1.08482 -1.28715 -0.771658
98 9.75 0.8 0.755564 0.480189 0.469098 0.498882 -0.556195 -0.922322
99 9.85 0.2 0.517142 0.0294609 0.36637 -1.11261 -1.10864 -1.00347
100 9.95 0.4 0.522643 0.416723 0.306283 -1.01204 -1.04533 -0.891164
101 10.05 0.3 0.284777 0.271829 0.133071 -0.587596 -0.625834 -0.675201
102 10.15 0.5 0.60773 0.341022 0.312895 -0.836407 -1.2034 -0.513413
103 10.25 0.4 0.970516 0.429641 0.392282 -0.256104 -1.02098 -0.477864
104 10.35 0.3 0.661874 0.527748 0.109136 -0.62062 0.846499 -0.27358
105 10.45 1.3 1.25424 1.07682 0.962847 0.826258 1.13829 -0.389284
106 10.55 0.9 0.940991 0.930677 1.00496 -0.882149 -0.810485 -0.426359
107 10.65 0.4 0.277867 0.289532 0.443885 0.542988 -0.532467 -0.458557
108 10.75 0.9 1.16113 1.07163 0.742032 -0.495449 -1.34263 -0.551222
109 10.85 0.7 0.430942 0.457078 0.477288 -1.13135 -1.77528 -0.666105
110 10.95 0.3 0.145853 0.536308 0.38635 -1.36232 -1.65384 -0.909651
111 11.05 0.6 0.547415 0.716702 0.441738 -1.34499 -1.63721 -1.23534
112 11.15 0.6 0.629065 0.551949 0.695757 -1.64952 -0.553252 -1.53559
113 11.25 0.3 0.247733 0.0243158 0.0410624 -2.19927 -1.49216 -1.74865
114 11.35 0.9 1.00602 0.160022 0.696326 -2.59946 -2.80552 -1.77438
115 11.45 1.1 0.773676 0.613165 1.36824 -2.10693 -1.61115 -2.28146
116 11.55 1 0.428123 0.385271 0.295631 -3.87407 -3.17025 -2.31567
117 11.65 0.7 0.408401 0.953346 0.354363 -1.77032 -2.42883 -1.92613
118 11.75 0.6 0.785545 0.872225 0.459862 -1.38363 -1.53658 -1.69489
119 11.85 0.5 0.179803 0.256233 0.261832 -0.819394 -0.941864 -1.27809
120 11.95 0.4 0.0667567 0.721869 0.247074 -1.44018 -1.55322 -1.27511
121 12.05 0.8 0.606975 1.07417 0.823709 -1.12065 -0.534108 -1.17003
122 12.15 0.7 0.247762 0.442482 0.976954 0.455246 -0.493142 -1.17004
123 12.25 0.9 1.0477 0.263743 0.939034 2.58044 -0.145295 -1.37467
124 12.35 0.9 1.0137 0.819961 0.496593 -0.608028 -1.22131 -1.16242
125 12.45 1 0.227414 0.866884 1.07515 0.217322 0.135421 -1.10602
126 12.55 0.6 0.307356 0.254554 0.339712 -1.0918 -1.14113 -0.553791
127 12.65 0.7 0.106583 0.562634 0.486233 -0.0873876 -1.12423 -0.104132
128 12.75 0.7 0.701974 0.265816 0.491099 0.573015 -1.19751 0.367448
129 12.85 0.6 0.4901 0.326584 0.240504 -1.10709 -1.55339 0.239994
130 12.95 0.7 0.385886 0.328075 0.925645 -1.80013 -1.57745 0.134131
131 13.05 0.4 0.393543 0.493265 0.187213 -1.35445 -1.96265 0.0601371
132 13.15 0.8 0.715648 0.858177 0.228972 0.0153178 -1.27499 0.326657
133 13.25 0.7 0.620006 1.04333 0.533005 -0.148969 -0.411194 0.298274
134 13.35 1 0.793241 1.1798 1.01322 -0.30631 -0.802662 -0.396635
135 13.45 0.6 0.679852 0.925897 0.30762 1.92492 -0.175514 -0.254892
136 13.55 0.7 0.402049 0.518602 0.618921 -0.489726 0.566321 -0.358634
137 13.65 1 1.03316 0.847672 1.35455 -0.753522 -0.276177 -0.969717
138 13.75 0.6 0.479529 0.0297147 0.776428 -1.5146 0.249161 -1.10533
139 13.85 0.6 0.202027 0.165846 0.773892 -0.413324 -0.693555 -1.22112
140 13.95 0.4 0.0918457 0.11541 0.386616 -0.645524 -1.50783 -1.23227
141 14.05 0.6 0.474623 0.569696 0.498455 -0.778799 -1.52534 -1.39098
142 14.15 0.9 0.321448 0.390693 0.311273 -2.23743 -2.28798 -1.37806
143 14.25 0.8 0.526056 0.474601 0.22429 -1.26875 -0.981838 -1.33084
144 14.35 1.1 0.411629 1.32269 0.821005 -1.0216 -0.40333 -1.08122
145 14.45 0.5 0.597461 0.252272 0.916786 -0.286464 -1.45964 -0.986244
146 14.55 0.7 0.433887 0.924705 0.55472 -0.56559 -1.62301 -0.83575
147 14.65 0.6 0.264962 1.4356 0.243479 -1.14687 -1.85688 -0.917478
148 14.75 0.9 1.04314 0.782034 0.884301 -0.49371 -0.74427 -0.792656
149 14.85 0.8 0.502323 0.597898 0.85019 -1.52457 -0.153182 0.443784
150 14.95 0.4 0.515104 0.126924 0.135097 -0.808064 -1.38763 1.21255
151 15.05 1 0.466467 0.678339 0.511305 -0.337883 -0.623647 1.1115
152 15.15 1.1 1.56121 1.81934 1.02552 -1.58879 1.52976 1.69992
