# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
0 396 2000
  1 0.03 1 0.118299
  2 0.09 0 0
  3 0.15 0 0
  4 0.21 0 0
  5 0.27 1 0.118299
  6 0.33 0 0
  7 0.39 0 0
  8 0.45 0 0
  9 0.51 2 0.236599
  10 0.57 0 0
  11 0.63 0 0
  12 0.69 1 0.118299
  13 0.75 0 0
  14 0.81 1 0.118299
  15 0.87 0 0
  16 0.93 0 0
  17 0.99 1 0.118299
  18 1.05 1 0.118299
  19 1.11 0 0
  20 1.17 0 0
  21 1.23 0 0
  22 1.29 1 0.118299
  23 1.35 0 0
  24 1.41 0 0
  25 1.47 0 0
  26 1.53 1 0.118299
  27 1.59 0 0
  28 1.65 2 0.236599
  29 1.71 1 0.118299
  30 1.77 1 0.118299
  31 1.83 1 0.118299
  32 1.89 0 0
  33 1.95 1 0.118299
  34 2.01 0 0
  35 2.07 1 0.118299
  36 2.13 0 0
  37 2.19 1 0.118299
  38 2.25 2 0.236599
  39 2.31 1 0.118299
  40 2.37 1 0.118299
  41 2.43 4 0.473198
  42 2.49 1 0.118299
  43 2.55 2 0.236599
  44 2.61 3 0.354898
  45 2.67 1 0.118299
  46 2.73 2 0.236599
  47 2.79 2 0.236599
  48 2.85 4 0.473198
  49 2.91 4 0.473198
  50 2.97 2 0.236599
  51 3.03 4 0.473198
  52 3.09 3 0.354898
  53 3.15 0 0
  54 3.21 3 0.354898
  55 3.27 1 0.118299
  56 3.33 4 0.473198
  57 3.39 3 0.354898
  58 3.45 4 0.473198
  59 3.51 5 0.591497
  60 3.57 4 0.473198
  61 3.63 4 0.473198
  62 3.69 4 0.473198
  63 3.75 3 0.354898
  64 3.81 6 0.709797
  65 3.87 7 0.828096
  66 3.93 2 0.236599
  67 3.99 8 0.946396
  68 4.05 3 0.354898
  69 4.11 2 0.236599
  70 4.17 5 0.591497
  71 4.23 7 0.828096
  72 4.29 5 0.591497
  73 4.35 4 0.473198
  74 4.41 6 0.709797
  75 4.47 6 0.709797
  76 4.53 5 0.591497
  77 4.59 3 0.354898
  78 4.65 5 0.591497
  79 4.71 7 0.828096
  80 4.77 7 0.828096
  81 4.83 3 0.354898
  82 4.89 4 0.473198
