# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pfull[1] c_pfull[2] c_pfull[3] c_pfull[4] c_pfull[5] c_pfull[6] c_pfull[7] c_pfull[8]
0 395
1 0.0300494 0 0 0 0 -0.0111948 -0.0177005 -0.0555017
2 0.0901482 0 0 0 0 -0.0110801 -0.0175935 -0.0552844
3 0.150247 0 0 0 0 -0.0110649 -0.0175784 -0.0552883
4 0.210346 0 0 0 0 -0.011063 -0.0175765 -0.0552892
5 0.270445 0 0 0 0 0.040422 -0.0135868 0.0869564
6 0.330543 0 0 0 0 0.0433407 -0.013302 0.0949077
7 0.390642 0 0 0 0 0.0433238 -0.0133189 0.0948983
8 0.450741 0 0 0 0 0.0433078 -0.0133349 0.0948875
9 0.51084 0 0 0 0 0.0405378 -0.0128428 0.0941383
10 0.570939 0 0 0 0 0.0274106 -0.0143315 0.0905986
11 0.631037 0 0 0 0 0.0273663 -0.0143759 0.0905745
12 0.691136 0 0 0 0 0.0266234 -0.0361744 0.0963567
13 0.751235 0 0 0 0 0.0265025 -0.0422061 0.0980385
14 0.811334 0 0 0 0 0.0266382 -0.0424325 0.0970215
15 0.871433 0 0 0 0 0.0269584 -0.0425118 0.096057
16 0.931531 0 0 0 0 0.0269161 -0.0425541 0.0960376
17 0.99163 0 0 0 0 0.0312007 -0.0426364 0.0951963
18 1.05173 0 0 0 0 0.0337874 -0.0388996 0.0770654
19 1.11183 0 0 0 0 -0.0120329 -0.0134508 -0.0392923
20 1.17193 0 0 0 0 -0.0120487 -0.0134666 -0.0393034
21 1.23203 0 0 0 0 -0.0120805 -0.0134984 -0.0393213
22 1.29212 0 0 0 0 -0.0233142 -0.0118032 -0.0191464
23 1.35222 0 0 0 0 -0.0316808 -0.0103683 -0.00372685
24 1.41232 0 0 0 0 -0.0316952 -0.0103826 -0.00373577
25 1.47242 0 0 0 0 -0.0316942 -0.0103816 -0.00373518
26 1.53252 0 0 0 0 -0.0368031 -0.018301 -0.00374016
27 1.59262 0 0 0 0 -0.039557 -0.0225062 -0.00391432
28 1.65272 0 0 0 0 -0.0419898 -0.0291246 0.000824423
29 1.71282 0 0 0 0 -0.0426464 -0.0218366 0.0127128
30 1.77291 0 0 0 0 -0.0438115 -0.0227839 0.00931471
31 1.83301 0 0 0 0 -0.056009 -0.0362195 -0.00586872
32 1.89311 0 0 0 0 -0.0776692 -0.0632789 -0.0321415
33 1.95321 0 0 0 0 -0.0751994 -0.072974 -0.0034158
34 2.01331 0 0 0 0 -0.0745668 -0.0752101 0.00337605
35 2.07341 0 0 0 0 -0.081211 -0.0818838 -0.00719296
36 2.13351 0 0 0 0 -0.0866545 -0.0873525 -0.0161104
37 2.19361 0 0 0 0 -0.111385 -0.126348 -0.0337639
38 2.25371 0 0 0 0 -0.0618678 -0.152154 -0.0514464
39 2.3138 0 0 0 0 0.066807 1.92577 -0.0678584
40 2.3739 0 0 0 0 0.159273 5.59164 -0.0398361
41 2.434 0 0 0 0 0.600341 0.77951 -0.0893494
42 2.4941 0 0 0 0 0.569709 -0.0932604 -0.152938
43 2.5542 0 0 0 0 0.521203 -0.117497 -0.188566
44 2.6143 0 0 0 0 0.462664 -0.194425 -0.307159
45 2.6744 0 0 0 0 0.0995489 -0.355035 -0.384639
46 2.7345 0 0 0 0 -0.264229 -0.469545 -0.470306
47 2.79459 0 0 0 0 -0.515252 -0.54078 -0.552949
48 2.85469 0 0 0 0 -0.541171 -0.605711 -0.529189
49 2.91479 0 0 0 0 -0.367128 -0.592934 -0.41668
50 2.97489 0 0 0 0 -0.140661 -0.517925 -0.401828
51 3.03499 0 0 0 0 -0.0845533 -0.733748 -0.495373
52 3.09509 0 0 0 0 -0.424081 -0.76192 -0.576482
53 3.15519 0 0 0 0 -0.407993 -0.846875 -0.572625
54 3.21529 0 0 0 0 -0.188567 -0.748305 -0.61176
55 3.27538 0 0 0 0 -0.151444 -0.763815 -0.64491
56 3.33548 0 0 0 0 -0.72832 -1.20178 -0.724851
