# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_sa[1] c_sa[2] c_sa[3]
0 360 1267
  1 0.05 0 0 0 0
  2 0.15 0 0 0 0
  3 0.25 0 0 0 0
  4 0.35 0 0 0 0
  5 0.45 0 0 0 0
  6 0.55 0 0 0 0
  7 0.65 0 0 0 0
  8 0.75 0 0 0 0
  9 0.85 0 0 0 0
  10 0.95 0 0 0 0
  11 1.05 0 0 0 0
  12 1.15 0 0 0 0
  13 1.25 0 0 0 0
  14 1.35 0 0 0 0
  15 1.45 0 0 0 0
  16 1.55 0 0 0 0
  17 1.65 0 0 0 0
  18 1.75 0 0 0 0
  19 1.85 0 0 0 0
  20 1.95 1 0.00887568 0.00887568 0.0188832
  21 2.05 0 0 0 0
  22 2.15 0 0 0 0
  23 2.25 0 0 0 0
  24 2.35 0 0 0 0
  25 2.45 1 0.00906446 0.00906446 0.0201997
  26 2.55 0 0 0 0
  27 2.65 0 0 0 0
  28 2.75 0 0 0 0
  29 2.85 0 0 0 0
  30 2.95 0 0 0 0
  31 3.05 0 0 0 0
  32 3.15 0 0 0 0
  33 3.25 0 0 0 0
  34 3.35 0 0 0 0
  35 3.45 0 0 0 0
  36 3.55 0 0 0 0
  37 3.65 0 0 0 0
  38 3.75 0 0 0 0
  39 3.85 0 0 0 0
  40 3.95 1 0.0123644 0.0123644 0.0253389
  41 4.05 0 0 0 0
  42 4.15 1 0.0129681 0.0129681 0.0274327
  43 4.25 0 0 0 0
  44 4.35 0 0 0 0
  45 4.45 0 0 0 0
  46 4.55 0 0 0 0
  47 4.65 0 0 0 0
  48 4.75 0 0 0 0
  49 4.85 0 0 0 0
  50 4.95 0 0 0 0
  51 5.05 0 0 0 0
  52 5.15 0 0 0 0
  53 5.25 0 0 0 0
  54 5.35 0 0 0 0
  55 5.45 0 0 0 0
  56 5.55 0 0 0 0
  57 5.65 1 0.0233961 0.0233961 0.0670575
  58 5.75 0 0 0 0
  59 5.85 1 0.0263452 0.0263452 0.0749296
  60 5.95 1 0.0279979 0.0279979 0.0792361
  61 6.05 0 0 0 0
  62 6.15 0 0 0 0
  63 6.25 0 0 0 0
  64 6.35 0 0 0 0
  65 6.45 0 0 0 0
  66 6.55 0 0 0 0
  67 6.65 0 0 0 0
  68 6.75 0 0 0 0
  69 6.85 0 0 0 0
  70 6.95 0 0 0 0
  71 7.05 0 0 0 0
  72 7.15 0 0 0 0
  73 7.25 0 0 0 0
  74 7.35 0 0 0 0
  75 7.45 1 0.0765995 0.0765995 0.171934
  76 7.55 0 0 0 0
  77 7.65 0 0 0 0
  78 7.75 0 0 0 0
  79 7.85 0 0 0 0
  80 7.95 1 0.10646 0.10646 0.19426
  81 8.05 0 0 0 0
  82 8.15 0 0 0 0
  83 8.25 0 0 0 0
  84 8.35 0 0 0 0
  85 8.45 2 0.281605 0.281605 0.428572
  86 8.55 2 0.291723 0.291723 0.432177
  87 8.65 3 0.463731 0.463731 0.654
  88 8.75 1 0.162953 0.162953 0.218751
  89 8.85 0 0 0 0
  90 8.95 0 0 0 0
  91 9.05 3 0.545841 0.545841 0.664716
  92 9.15 0 0 0 0
  93 9.25 1 0.200728 0.200728 0.226431
  94 9.35 4 0.822432 0.822432 0.909681
  95 9.45 3 0.641944 0.641944 0.684123
  96 9.55 3 0.664928 0.664928 0.683772
  97 9.65 6 1.37117 1.37117 1.36782
  98 9.75 8 1.89326 1.89326 1.82405
  99 9.85 2 0.487828 0.487828 0.456272
  100 9.95 4 1.01599 1.01599 0.915529
  101 10.05 3 0.780059 0.780059 0.689239
  102 10.15 5 1.33894 1.33894 1.1578
  103 10.25 4 1.10825 1.10825 0.936907
  104 10.35 3 0.843288 0.843288 0.706187
  105 10.45 13 3.78396 3.78396 3.09148
  106 10.55 9 2.68831 2.68831 2.1585
  107 10.65 4 1.22107 1.22107 0.967046
  108 10.75 9 2.81153 2.81153 2.19168
  109 10.85 7 2.23813 2.23813 1.71986
  110 10.95 3 0.980027 0.980027 0.74606
  111 11.05 6 1.99493 1.99493 1.51075
  112 11.15 6 2.03107 2.03107 1.53498
  113 11.25 3 1.04002 1.04002 0.786624
  114 11.35 9 3.17195 3.17195 2.40301
  115 11.45 11 3.93578 3.93578 2.9852
  116 11.55 10 3.63622 3.63622 2.76256
  117 11.65 7 2.58207 2.58207 1.96608
  118 11.75 6 2.24589 2.24589 1.71702
  119 11.85 5 1.89927 1.89927 1.45937
  120 11.95 4 1.54265 1.54265 1.19471
  121 12.05 8 3.1209 3.1209 2.44219
  122 12.15 7 2.76349 2.76349 2.18524
  123 12.25 9 3.59457 3.59457 2.87295
  124 12.35 9 3.6307 3.6307 2.93925
  125 12.45 10 4.06607 4.06607 3.32668
  126 12.55 6 2.46301 2.46301 2.03967
  127 12.65 7 2.89913 2.89913 2.42929
  128 12.75 7 2.92074 2.92074 2.46801
  129 12.85 6 2.52139 2.52139 2.14549
  130 12.95 7 2.96322 2.96322 2.54228
  131 13.05 4 1.7064 1.7064 1.48319
  132 13.15 8 3.42859 3.42859 3.01092
  133 13.25 7 3.01879 3.01879 2.68917
  134 13.35 10 4.33052 4.33052 3.89067
  135 13.45 6 2.61239 2.61239 2.37598
  136 13.55 7 3.06041 3.06041 2.79795
  137 13.65 10 4.38886 4.38886 4.02231
  138 13.75 6 2.64135 2.64135 2.42588
  139 13.85 6 2.65225 2.65225 2.44271
  140 13.95 4 1.77427 1.77427 1.64056
  141 14.05 6 2.66861 2.66861 2.483
  142 14.15 9 4.017 4.017 3.77296
  143 14.25 8 3.58149 3.58149 3.38801
  144 14.35 11 4.94086 4.94086 4.70501
  145 14.45 5 2.25087 2.25087 2.1434
  146 14.55 7 3.15908 3.15908 3.00064
  147 14.65 6 2.71236 2.71236 2.57191
  148 14.75 9 4.07914 4.07914 3.86658
  149 14.85 8 3.6323 3.6323 3.44769
  150 14.95 4 1.8203 1.8203 1.73486
  151 15.05 10 4.56064 4.56064 4.36861
  152 15.15 11 5.02498 5.02498 4.82685
  153 15.25 6 2.74507 2.74507 2.64277
  154 15.35 5 2.29206 2.29206 2.21057
  155 15.45 9 4.13122 4.13122 3.97819
  156 15.55 9 4.13806 4.13806 3.96947
  157 15.65 8 3.68371 3.68371 3.52608
  158 15.75 7 3.22828 3.22828 3.08555
  159 15.85 8 3.69579 3.69579 3.53277
  160 15.95 5 2.31316 2.31316 2.21325
  161 16.05 7 3.24296 3.24296 3.11109
  162 16.15 8 3.71216 3.71216 3.56715
  163 16.25 11 5.11039 5.11039 4.91646
  164 16.35 6 2.79109 2.79109 2.68657
  165 16.45 9 4.19186 4.19186 4.03152
  166 16.55 8 3.72986 3.72986 3.58533
  167 16.65 9 4.20065 4.20065 4.03685
  168 16.75 6 2.80333 2.80333 2.68981
  169 16.85 4 1.87129 1.87129 1.79497
  170 16.95 4 1.87301 1.87301 1.79741
  171 17.05 10 4.68585 4.68585 4.5032
  172 17.15 10 4.68978 4.68978 4.51498
  173 17.25 10 4.69237 4.69237 4.51784
  174 17.35 15 7.0427 7.0427 6.77123
  175 17.45 3 1.40905 1.40905 1.35302
  176 17.55 5 2.34909 2.34909 2.253
  177 17.65 4 1.87966 1.87966 1.80355
  178 17.75 9 4.22989 4.22989 4.06934
  179 17.85 7 3.2902 3.2902 3.17271
  180 17.95 8 3.76047 3.76047 3.63059
  181 18.05 10 4.70054 4.70054 4.5426
  182 18.15 6 2.81995 2.81995 2.72184
  183 18.25 7 3.28929 3.28929 3.16547
  184 18.35 11 5.16695 5.16695 4.95988
  185 18.45 6 2.8171 2.8171 2.70573
  186 18.55 8 3.75448 3.75448 3.61307
  187 18.65 7 3.28324 3.28324 3.16556
  188 18.75 5 2.34423 2.34423 2.2584
  189 18.85 11 5.15492 5.15492 4.96653
  190 18.95 2 0.936828 0.936828 0.902303
  191 19.05 16 7.48945 7.48945 7.19876
  192 19.15 5 2.33827 2.33827 2.24757
  193 19.25 9 4.20538 4.20538 4.044
  194 19.35 6 2.80117 2.80117 2.69261
  195 19.45 9 4.19702 4.19702 4.03615
  196 19.55 5 2.32943 2.32943 2.2391
  197 19.65 10 4.65492 4.65492 4.46806
  198 19.75 6 2.78975 2.78975 2.67706
  199 19.85 9 4.18036 4.18036 4.01235
  200 19.95 7 3.24879 3.24879 3.1194
  201 20.05 7 3.24404 3.24404 3.11944
  202 20.15 10 4.62818 4.62818 4.45142
  203 20.25 10 4.61969 4.61969 4.4313
  204 20.35 6 2.76633 2.76633 2.64221
  205 20.45 7 3.22276 3.22276 3.06406
  206 20.55 5 2.29739 2.29739 2.17431
  207 20.65 7 3.21005 3.21005 3.03765
  208 20.75 5 2.29053 2.29053 2.16986
  209 20.85 10 4.57152 4.57152 4.33999
  210 20.95 11 5.01658 5.01658 4.7708
  211 21.05 7 3.18512 3.18512 3.02911
  212 21.15 9 4.08812 4.08812 3.88403
  213 21.25 6 2.71893 2.71893 2.58055
  214 21.35 4 1.80759 1.80759 1.71181
  215 21.45 3 1.35234 1.35234 1.27667
  216 21.55 10 4.49596 4.49596 4.23314
  217 21.65 10 4.48426 4.48426 4.21691
  218 21.75 9 4.02422 4.02422 3.77742
  219 21.85 5 2.22819 2.22819 2.08799
  220 21.95 13 5.77479 5.77479 5.3935
  221 22.05 6 2.65689 2.65689 2.47339
  222 22.15 4 1.76171 1.76171 1.62633
  223 22.25 6 2.63611 2.63611 2.42505
  224 22.35 7 3.06122 3.06122 2.79873
  225 22.45 7 3.04741 3.04741 2.77055
  226 22.55 9 3.90259 3.90259 3.53307
  227 22.65 4 1.72451 1.72451 1.55114
  228 22.75 12 5.14321 5.14321 4.5828
  229 22.85 8 3.411 3.411 3.01925
  230 22.95 10 4.23829 4.23829 3.72037
  231 23.05 4 1.68275 1.68275 1.46283
  232 23.15 8 3.34364 3.34364 2.88156
  233 23.25 5 2.0742 2.0742 1.77085
  234 23.35 8 3.2953 3.2953 2.7873
  235 23.45 7 2.85898 2.85898 2.39236
  236 23.55 4 1.62021 1.62021 1.34261
  237 23.65 6 2.40747 2.40747 1.97774
  238 23.75 9 3.56808 3.56808 2.90234
  239 23.85 6 2.35593 2.35593 1.90123
  240 23.95 10 3.88431 3.88431 3.10581
  241 24.05 6 2.29811 2.29811 1.81739
  242 24.15 6 2.27143 2.27143 1.78237
  243 24.25 7 2.61429 2.61429 2.03799
  244 24.35 8 2.95115 2.95115 2.29485
  245 24.45 4 1.45573 1.45573 1.13141
  246 24.55 6 2.15298 2.15298 1.6783
  247 24.65 11 3.87121 3.87121 3.02994
  248 24.75 7 2.42073 2.42073 1.89475
  249 24.85 7 2.37794 2.37794 1.86246
  250 24.95 8 2.66157 2.66157 2.08942
  251 25.05 5 1.63581 1.63581 1.2853
  252 25.15 8 2.55606 2.55606 2.0202
  253 25.25 3 0.934903 0.934903 0.747817
  254 25.35 5 1.53102 1.53102 1.23749
  255 25.45 7 2.09664 2.09664 1.72115
  256 25.55 5 1.46361 1.46361 1.22232
  257 25.65 9 2.57081 2.57081 2.18576
  258 25.75 5 1.39202 1.39202 1.20832
  259 25.85 5 1.35466 1.35466 1.19832
  260 25.95 4 1.05105 1.05105 0.945335
  261 26.05 4 1.03054 1.03054 0.936706
  262 26.15 4 0.998501 0.998501 0.926519
  263 26.25 4 0.959216 0.959216 0.914946
  264 26.35 6 1.40368 1.40368 1.36403
  265 26.45 5 1.13122 1.13122 1.12766
  266 26.55 4 0.872746 0.872746 0.896311
  267 26.65 3 0.634182 0.634182 0.670113
  268 26.75 4 0.813116 0.813116 0.891571
  269 26.85 2 0.396993 0.396993 0.444894
  270 26.95 0 0 0 0
  271 27.05 0 0 0 0
  272 27.15 1 0.175369 0.175369 0.218457
  273 27.25 2 0.33361 0.33361 0.43385
  274 27.35 3 0.481275 0.481275 0.647041
  275 27.45 1 0.151796 0.151796 0.213318
  276 27.55 1 0.145947 0.145947 0.211868
  277 27.65 3 0.415693 0.415693 0.629513
  278 27.75 0 0 0 0
  279 27.85 1 0.124176 0.124176 0.203152
  280 27.95 0 0 0 0
  281 28.05 0 0 0 0
  282 28.15 0 0 0 0
  283 28.25 0 0 0 0
  284 28.35 0 0 0 0
  285 28.45 0 0 0 0
  286 28.55 0 0 0 0
  287 28.65 2 0.162815 0.162815 0.341676
  288 28.75 1 0.0766977 0.0766977 0.164839
  289 28.85 1 0.0742498 0.0742498 0.16155
  290 28.95 0 0 0 0
  291 29.05 0 0 0 0
  292 29.15 0 0 0 0
  293 29.25 0 0 0 0
  294 29.35 0 0 0 0
  295 29.45 0 0 0 0
  296 29.55 0 0 0 0
  297 29.65 0 0 0 0
  298 29.75 0 0 0 0
  299 29.85 0 0 0 0
  300 29.95 0 0 0 0
  301 30.05 0 0 0 0
  302 30.15 0 0 0 0
  303 30.25 0 0 0 0
