# Chunk-averaged data for fix fHar and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_sa[1] c_sa[2] c_sa[3]
30000 360 1267.0000000000011
  1 0.05 0.1 -0.0286946 -0.0194148 -0.15785
  2 0.15 0.1 -0.0196554 -0.103597 -0.0775127
  3 0.25 0.233333 -0.0731446 -0.253115 -0.272658
  4 0.35 0.2 -0.447027 -0.0901356 -0.143157
  5 0.45 0.1 -0.00910089 -0.00183813 -0.00657699
  6 0.55 0.0333333 -0.000635159 -0.00838785 -0.0847037
  7 0.65 0.1 -0.0805996 -0.101395 -0.208592
  8 0.75 0.133333 -0.0043756 -0.118956 0.0207841
  9 0.85 0.1 -0.102453 -0.104188 -0.0950164
  10 0.95 0.0666667 -0.0221839 -0.138377 -0.0146194
  11 1.05 0.266667 -0.378276 -0.196375 -0.236069
  12 1.15 0.166667 0.0148901 -0.153974 -0.0532054
  13 1.25 0.133333 -0.152704 -0.0947856 -0.0145794
  14 1.35 0.133333 -0.197379 -0.209425 -0.0941182
  15 1.45 0.0666667 -0.310971 -0.213956 -0.014637
  16 1.55 0.166667 -0.124396 -0.260469 -0.0769159
  17 1.65 0.266667 -0.219084 -0.340539 -0.368991
  18 1.75 0.1 -0.0237355 -0.0150399 -0.0183954
  19 1.85 0.233333 -0.0761493 0.0413264 -0.162602
  20 1.95 0.0333333 -0.00822276 0.00294176 0.0159459
  21 2.05 0.0333333 -0.157712 -0.0203681 -0.0225713
  22 2.15 0.1 -0.00890696 -0.00812479 -0.0108857
  23 2.25 0.166667 -0.0555131 -0.115353 -0.179801
  24 2.35 0.0333333 -0.119095 -0.0262397 0.00592597
  25 2.45 0.166667 -0.0610772 -0.0946138 -0.0581271
  26 2.55 0.133333 -0.0409385 0.0798973 -0.0579409
  27 2.65 0.2 -0.0664125 -0.33995 -0.154434
  28 2.75 0.0666667 -0.0162934 -0.00106197 -0.0813242
  29 2.85 0.166667 -0.101737 -0.3117 -0.0935457
  30 2.95 0.2 -0.0310928 -0.400173 0.00768292
  31 3.05 0.133333 -0.122678 -0.0360286 -0.0686353
  32 3.15 0.233333 -0.0302699 -0.070602 -0.170595
  33 3.25 0.166667 -0.0224724 -0.0812212 -0.105842
  34 3.35 0.166667 0.073282 -0.00769358 -0.00557398
  35 3.45 0.166667 -0.182898 -0.0162777 -0.110848
  36 3.55 0.233333 -0.498072 -0.0298984 -0.120075
  37 3.65 0.166667 -0.0356578 -0.0437064 -0.0116987
  38 3.75 0.0333333 -0.0250851 1.27217e-05 -0.00684408
  39 3.85 0.0666667 -0.0132183 0.00705222 -0.152135
  40 3.95 0.1 -0.000406072 -0.0649308 -0.131875
  41 4.05 0.0666667 -0.00826849 -0.0090294 -0.109235
  42 4.15 0.1 0.0324506 0.0149548 0.0687537
  43 4.25 0.166667 -0.0976136 -0.152681 -0.162765
  44 4.35 0.2 -0.0329669 -0.0954046 -0.137963
  45 4.45 0.133333 -0.120914 -0.0613153 -0.043754
  46 4.55 0.1 0.0158259 -0.0124301 0.025868
  47 4.65 0.166667 -0.0467851 -0.199901 -0.310643
  48 4.75 0.0666667 -0.168524 0.044933 -0.106318
  49 4.85 0.2 -0.0679431 -0.280346 -0.303845
  50 4.95 0.2 -0.0467412 -0.0780378 -0.0780356
  51 5.05 0.2 -0.0677219 -0.114635 -0.0278346
  52 5.15 0.2 -0.137737 -0.11328 -0.0374761
  53 5.25 0.133333 -0.0816169 -0.0218802 -0.13921
  54 5.35 0.233333 -0.0742952 -0.212886 -0.209054
  55 5.45 0.0666667 0.0207009 -0.025928 -4.31398e-05
  56 5.55 0.1 -0.0832516 -0.173125 -0.0166541
  57 5.65 0.166667 -0.233571 -0.131215 -0.198746
  58 5.75 0.166667 -0.403026 -0.150241 0.0183093
  59 5.85 0.133333 -0.117156 -0.0604994 -0.086532
  60 5.95 0.166667 -0.0507025 -0.0923307 -0.100238
  61 6.05 0.1 -0.247133 -0.0768213 0.0631088
  62 6.15 0.1 -0.155895 -0.0152437 -0.0435562
  63 6.25 0.0333333 -0.0792008 -0.118769 -0.104291
  64 6.35 0.0333333 0.000398329 -0.129215 -0.342745
  65 6.45 0.233333 -0.10893 -0.0958505 -0.230792
  66 6.55 0.1 -0.00216465 0.0282355 0.0339327
  67 6.65 0.233333 -0.242924 -0.00119679 -0.161446
  68 6.75 0.3 -0.249756 -0.321223 -0.358903
  69 6.85 0.166667 -0.0167982 -0.070658 -0.0686581
  70 6.95 0.133333 -0.507771 -0.142653 -0.1648
  71 7.05 0.366667 -0.5234 -0.349249 -0.0426625
  72 7.15 0.2 -0.0243177 -0.0815575 -0.0162203
  73 7.25 0.166667 0.0485784 -0.191579 -0.349865
  74 7.35 0.4 -0.495519 -0.0465686 0.15606
  75 7.45 0.3 -0.0348468 -0.42621 -0.0885004
  76 7.55 0.2 -0.279737 -0.149878 0.000673017
  77 7.65 0.366667 0.0768496 -0.0232891 0.163752
  78 7.75 0.133333 -0.107014 -0.0966297 -0.30651
  79 7.85 0.433333 -0.0716076 -0.136441 -0.0108798
  80 7.95 0.333333 -0.256212 -0.408367 -0.169102
  81 8.05 0.433333 -0.25894 0.101081 0.288385
  82 8.15 0.366667 -0.137383 -0.247673 -0.235104
  83 8.25 0.5 0.215972 0.146586 0.50032
  84 8.35 0.633333 0.399466 0.0342591 0.068524
  85 8.45 0.6 -0.458281 -0.312631 0.0944514
  86 8.55 0.833333 -0.817669 0.4507 0.410977
  87 8.65 1.23333 0.513037 0.555771 0.656877
  88 8.75 1.13333 0.0185979 0.604691 0.157978
  89 8.85 1.26667 0.925824 0.927057 1.55717
  90 8.95 1.5 0.407078 0.659339 1.38667
  91 9.05 1.66667 0.838063 1.23966 1.74384
  92 9.15 2.1 1.26614 0.637655 1.22442
  93 9.25 2.1 1.76316 1.91379 1.4081
  94 9.35 2.73333 1.89087 2.97794 0.992394
  95 9.45 2.8 1.25052 0.249645 0.571571
  96 9.55 3.5 2.95502 -1.14932 -0.436408
  97 9.65 3.63333 0.318043 3.2183 2.68007
  98 9.75 3.8 2.45927 3.00958 2.70653
  99 9.85 3.8 3.00405 2.22305 4.05749
  100 9.95 4.43333 1.87276 1.94188 0.549272
  101 10.05 4.96667 2.71459 1.35225 2.46636
  102 10.15 5.86667 3.93504 5.39095 -0.083107
  103 10.25 5.03333 2.17219 3.22552 1.00281
  104 10.35 5.8 7.16028 4.91627 1.84017
  105 10.45 6.3 5.70677 -0.355607 1.97333
  106 10.55 6.1 6.08264 6.49963 3.18221
  107 10.65 6 0.887785 3.30584 1.20528
  108 10.75 6.5 7.13935 2.27854 2.3904
  109 10.85 6.4 4.99347 1.14034 0.563601
  110 10.95 6.46667 6.52796 5.67009 2.01331
  111 11.05 6.36667 4.21449 1.23847 -1.13208
  112 11.15 7.1 4.14014 3.16072 1.53925
  113 11.25 7.33333 1.17239 3.36575 -4.3798
  114 11.35 6.96667 2.76956 7.38794 1.84059
  115 11.45 7.33333 1.48699 0.339033 -4.87043
  116 11.55 6.96667 5.72682 3.32647 2.8233
  117 11.65 6.9 0.0685076 3.19188 2.47119
  118 11.75 6.66667 3.9616 2.0516 1.70617
  119 11.85 7.4 6.05779 2.30814 0.817268
  120 11.95 7.5 1.71801 2.06725 -1.41631
  121 12.05 7.73333 3.36789 4.02537 -1.29186
  122 12.15 6.96667 -0.043441 1.65726 -1.37925
  123 12.25 7.66667 -0.493635 2.98373 -2.21145
  124 12.35 7.36667 4.79951 -2.93426 1.47919
  125 12.45 7.53333 4.12598 0.969302 -0.424352
  126 12.55 7.1 5.19216 -0.1995 -2.2546
  127 12.65 7.06667 1.71031 1.41002 -2.3445
  128 12.75 7.46667 3.2349 8.7584 4.54337
  129 12.85 7.13333 6.98401 1.51526 2.22866
  130 12.95 7.16667 6.20458 4.52666 2.0891
  131 13.05 8.16667 3.31706 3.60831 0.526424
  132 13.15 7.3 2.61047 4.49138 0.355473
  133 13.25 7.56667 4.99792 3.923 -2.71802
  134 13.35 7.6 0.451852 -0.42825 5.97536
  135 13.45 7.86667 0.459767 3.20524 2.578
  136 13.55 8.16667 3.92119 1.61435 -3.23474
  137 13.65 6.53333 2.97837 5.88892 3.22899
  138 13.75 7.93333 -1.63457 -3.09244 4.81518
  139 13.85 6.43333 0.158959 2.95611 0.930547
  140 13.95 7.93333 3.2501 -0.863825 3.90068
  141 14.05 7.83333 4.0118 3.0172 5.03032
  142 14.15 8.16667 1.69045 -1.22333 3.84858
  143 14.25 7.76667 -0.31533 4.12396 1.10117
  144 14.35 7.56667 3.12166 2.03142 3.96658
  145 14.45 6.73333 0.672709 -2.72896 -1.54349
  146 14.55 7.33333 1.57917 4.67818 -3.94541
  147 14.65 7.63333 6.03008 1.4165 1.44462
  148 14.75 7.56667 0.957467 3.4985 -0.326119
