# Time-averaged data for fix fB
# TimeStep Number-of-rows
# Row c_pB[1] c_pB[2] c_pB[3] c_pB[4] c_pB[5] c_pB[6] c_pB[7] c_pB[8]
0 360
1 0.05 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
2 0.15 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
3 0.25 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
4 0.35 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
5 0.45 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
6 0.55 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
7 0.65 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
8 0.75 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
9 0.85 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
10 0.95 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
11 1.05 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
12 1.15 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
13 1.25 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
14 1.35 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
15 1.45 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
16 1.55 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
17 1.65 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
18 1.75 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
19 1.85 0 0 0 0 -3.54747e-05 -1.52867e-05 -8.65793e-05
20 1.95 0.1 0.00263238 0.00943252 0.000848495 -3.68482e-05 -7.31517e-05 -7.30187e-05
21 2.05 0 0 0 0 -3.83084e-05 -0.00013467 -5.86021e-05
22 2.15 0 0 0 0 -3.83084e-05 -0.00013467 -5.86021e-05
23 2.25 0 0 0 0 -3.83084e-05 -0.00013467 -5.86021e-05
24 2.35 0 0 0 0 -3.83084e-05 -0.00013467 -5.86021e-05
25 2.45 0.1 0.0142219 0.0567931 0.0169821 -3.84894e-05 -0.000146357 -6.73771e-05
26 2.55 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
27 2.65 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
28 2.75 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
29 2.85 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
30 2.95 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
31 3.05 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
32 3.15 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
33 3.25 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
34 3.35 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
35 3.45 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
36 3.55 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
37 3.65 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
38 3.75 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
39 3.85 0 0 0 0 -4.12088e-05 -0.000321968 -0.000199228
40 3.95 0.1 0.0459421 0.0109009 0.101427 -0.0203729 -0.0830675 -0.00206224
41 4.05 0 0 0 0 -0.0267303 -0.10894 -0.00264477
42 4.15 0.1 6.43358e-05 0.0543858 0.00489126 -0.0016436 -0.0063157 -0.000271041
43 4.25 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
44 4.35 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
45 4.45 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
46 4.55 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
47 4.65 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
48 4.75 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
49 4.85 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
50 4.95 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
51 5.05 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
52 5.15 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
53 5.25 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
54 5.35 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
55 5.45 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
56 5.55 0 0 0 0 -0.000107461 -3.1665e-05 -0.000125689
57 5.65 0.1 0.000992956 0.00477012 0.0447561 -0.000300358 -0.000948078 -0.000410287
58 5.75 0 0 0 0 -0.000324224 -0.00106146 -0.000445497
59 5.85 0.1 2.79177e-05 0.000212838 0.0914104 -0.0133833 -0.000801055 -0.000602785
60 5.95 0.1 0.0568088 0.00552631 0.00170639 -0.00239677 -0.000269224 -0.000745152
61 6.05 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
62 6.15 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
63 6.25 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
64 6.35 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
65 6.45 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
66 6.55 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
67 6.65 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
68 6.75 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
69 6.85 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
70 6.95 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
71 7.05 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
72 7.15 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
73 7.25 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
74 7.35 0 0 0 0 -0.000221805 -0.000187705 -0.000764642
75 7.45 0.1 0.0366226 0.0180124 0.0206862 -0.0104817 -0.00855519 -0.0247224
76 7.55 0 0 0 0 -0.0125609 -0.0102508 -0.0295774
77 7.65 0 0 0 0 -0.0125609 -0.0102508 -0.0295774
78 7.75 0 0 0 0 -0.0125609 -0.0102508 -0.0295774
79 7.85 0 0 0 0 -0.0125609 -0.0102508 -0.0295774
80 7.95 0.1 0.000218687 0.100697 0.15297 -0.0265781 -0.0210034 -0.0291379
81 8.05 0 0 0 0 -0.0400835 -0.0313633 -0.0287144
82 8.15 0 0 0 0 -0.0400835 -0.0313633 -0.0287144
83 8.25 0 0 0 0 -0.0400835 -0.0313633 -0.0287144
84 8.35 0 0 0 0 -0.0400835 -0.0313633 -0.0287144
85 8.45 0.2 0.215328 0.182369 0.26436 1.51993 0.194881 -0.0556737
86 8.55 0.2 0.04608 0.173785 0.0434621 -0.406468 -0.284762 -0.169522
87 8.65 0.3 0.0900173 0.0384009 0.561055 -0.476805 -0.327871 -0.258244
88 8.75 0.1 0.150251 0.287581 0.029395 -0.427462 -0.313285 -0.3702
89 8.85 0 0 0 0 -0.257672 -0.260874 -0.417536
90 8.95 0 0 0 0 -0.257672 -0.260874 -0.417536
