# Time-averaged data for fix fIK
# TimeStep Number-of-rows
# Row c_pIK[1] c_pIK[2] c_pIK[3] c_pIK[4] c_pIK[5] c_pIK[6] c_pIK[7] c_pIK[8]
30000 360
1 0.05 0.01 0.0047351 0.0046551 0.0172939 -0.00189749 -0.00121857 -0.0029112
2 0.15 0.01 0.00247649 0.0116174 0.010996 -0.00187597 -0.00113556 -0.0027319
3 0.25 0.0233333 0.0127597 0.029002 0.0331938 -0.00194577 -0.00157263 -0.0029718
4 0.35 0.02 0.045087 0.0097604 0.0148546 -0.00187851 -0.00161693 -0.00306956
5 0.45 0.01 0.002539 0.0015051 0.00287209 -0.00181943 -0.00163009 -0.00290639
6 0.55 0.00333333 0.000218901 0.000931077 0.00855305 -0.00148968 -0.00161826 -0.00280904
7 0.65 0.01 0.00878536 0.0107928 0.0217198 -0.00150038 -0.00150904 -0.00281815
8 0.75 0.0133333 0.00804252 0.0146681 0.00536319 -0.0025507 -0.00144274 -0.00273521
9 0.85 0.01 0.0104556 0.0107722 0.0096519 -0.00305127 -0.000937989 -0.00192537
10 0.95 0.00666667 0.00325018 0.0139945 0.0022617 -0.00293908 -0.000880956 -0.0018713
11 1.05 0.0266667 0.0379567 0.0265198 0.0231395 -0.00770439 -0.00419957 -0.00210251
12 1.15 0.0166667 0.00316869 0.0157964 0.0080075 0.000658076 -0.00175813 -0.000122843
13 1.25 0.0133333 0.0154477 0.011285 0.00223976 0.00161084 -0.0014016 0.000147015
14 1.35 0.0133333 0.0193542 0.012136 0.00942647 0.00204951 0.00554475 0.000807662
15 1.45 0.00666667 0.0311958 0.0258562 0.00197457 0.00220352 0.0052252 0.000794158
16 1.55 0.0166667 0.0129819 0.0170268 0.0101672 0.00225118 0.0026873 0.000793364
17 1.65 0.0266667 0.0203994 0.0373842 0.034359 -0.00303016 -0.0054612 1.45552e-05
18 1.75 0.01 0.00317629 0.0028517 0.00253618 -0.00029184 -0.00288419 -0.000734253
19 1.85 0.0233333 0.0099178 0.0016252 0.0186693 -0.000707342 -0.00109157 -0.000731677
20 1.95 0.00333333 0.000945636 0.000108663 0.000106561 -0.000769068 -0.000488275 -0.000817591
21 2.05 0.00333333 0.0158135 0.00213939 0.00253048 -0.000776806 -0.000515393 -0.00092175
22 2.15 0.01 0.00107715 0.00112718 0.00135844 -0.000804994 -0.000545776 -0.000946097
23 2.25 0.0166667 0.00594839 0.0124125 0.0188466 -0.000960174 -0.00070396 -0.00102016
24 2.35 0.00333333 0.0132669 0.00339842 7.19186e-05 -0.000989314 -0.000654271 -0.0010573
