# Time-averaged data for fix fA
# TimeStep Number-of-rows
# Row c_pA[1] c_pA[2] c_pA[3] c_pA[4] c_pA[5] c_pA[6] c_pA[7] c_pA[8]
0 360
1 0.05 0 0 0 0 -6.7267e-05 -6.7267e-05 -0.00024077
2 0.15 0 0 0 0 -6.94336e-05 -6.94336e-05 -0.00024152
3 0.25 0 0 0 0 -6.77379e-05 -6.77379e-05 -0.000240814
4 0.35 0 0 0 0 -6.90789e-05 -6.90789e-05 -0.000241498
5 0.45 0 0 0 0 -6.80927e-05 -6.80927e-05 -0.000240961
6 0.55 0 0 0 0 -6.88537e-05 -6.88537e-05 -0.000241265
7 0.65 0 0 0 0 -6.8371e-05 -6.8371e-05 -0.000241176
8 0.75 0 0 0 0 -6.87145e-05 -6.87145e-05 -0.000241101
9 0.85 0 0 0 0 -6.859e-05 -6.859e-05 -0.000241304
10 0.95 0 0 0 0 -6.86403e-05 -6.86403e-05 -0.000241017
11 1.05 0 0 0 0 -6.8744e-05 -6.8744e-05 -0.000241333
12 1.15 0 0 0 0 -6.86366e-05 -6.86366e-05 -0.000241108
13 1.25 0 0 0 0 -6.87906e-05 -6.87906e-05 -0.000241134
14 1.35 0 0 0 0 -6.87522e-05 -6.87522e-05 -0.000241354
15 1.45 0 0 0 0 -6.86142e-05 -6.86142e-05 -0.000240978
16 1.55 0 0 0 0 -6.91305e-05 -6.91305e-05 -0.000241251
17 1.65 0 0 0 0 -6.7678e-05 -6.7678e-05 -0.000241467
18 1.75 0 0 0 0 -7.08186e-05 -7.08186e-05 -0.000240644
19 1.85 0 0 0 0 -5.82759e-05 -5.82759e-05 -0.000241892
20 1.95 0.1 0.00263238 0.00943252 0.000848495 -0.000300651 -0.000300651 -0.000558196
21 2.05 0 0 0 0 -8.64499e-05 -8.64499e-05 -0.000234715
22 2.15 0 0 0 0 -9.29346e-05 -9.29346e-05 -0.000236519
23 2.25 0 0 0 0 -9.52485e-05 -9.52485e-05 -0.00023553
24 2.35 0 0 0 0 -9.05705e-05 -9.05705e-05 -0.000235589
25 2.45 0.1 0.0142219 0.0567931 0.0169821 -0.000322572 -0.000336102 -0.000331736
26 2.55 0 0 0 0 -0.000130118 -0.000346947 -0.000401232
27 2.65 0 0 0 0 -0.000113314 -0.000330143 -0.000401572
28 2.75 0 0 0 0 -0.000113605 -0.000330434 -0.00040165
29 2.85 0 0 0 0 -0.000113594 -0.000330423 -0.000401405
30 2.95 0 0 0 0 -0.000113502 -0.000330331 -0.000401831
31 3.05 0 0 0 0 -0.000113498 -0.000330327 -0.000401234
32 3.15 0 0 0 0 -0.000113685 -0.000330513 -0.000401958
33 3.25 0 0 0 0 -0.000113301 -0.00033013 -0.000401171
34 3.35 0 0 0 0 -0.000113999 -0.000330828 -0.000401963
35 3.45 0 0 0 0 -0.000112971 -0.0003298 -0.0004011
36 3.55 0 0 0 0 -0.000114655 -0.000331484 -0.000402213
37 3.65 0 0 0 0 -0.000112246 -0.000329075 -0.000400655
38 3.75 0 0 0 0 -0.000117059 -0.000333888 -0.000402966
39 3.85 0 0 0 0 -0.000112871 -0.0003297 -0.000399167
40 3.95 0.1 0.0459421 0.0109009 0.101427 -0.0207927 -0.083486 -0.0025642
41 4.05 0 0 0 0 -0.0268774 -0.109106 -0.00287791
42 4.15 0.1 6.43358e-05 0.0543858 0.00489126 -0.00198787 -0.00673245 -0.000778335
43 4.25 0 0 0 0 -0.000129685 -0.000129685 -0.000372112
44 4.35 0 0 0 0 -0.000136368 -0.000136368 -0.000365597
45 4.45 0 0 0 0 -0.000133147 -0.000133147 -0.000370859
46 4.55 0 0 0 0 -0.000133971 -0.000133971 -0.000365924
47 4.65 0 0 0 0 -0.000133758 -0.000133758 -0.000370757
48 4.75 0 0 0 0 -0.000133141 -0.000133141 -0.000366021
49 4.85 0 0 0 0 -0.000134206 -0.000134206 -0.00037078
50 4.95 0 0 0 0 -0.000132534 -0.000132534 -0.00036569
51 5.05 0 0 0 0 -0.000134785 -0.000134785 -0.000371534
52 5.15 0 0 0 0 -0.00013186 -0.00013186 -0.000364727
53 5.25 0 0 0 0 -0.000135821 -0.000135821 -0.000372499
54 5.35 0 0 0 0 -0.000130995 -0.000130995 -0.000363646
55 5.45 0 0 0 0 -0.000138297 -0.000138297 -0.000373831
56 5.55 0 0 0 0 -0.000145267 -0.000145267 -0.000365443
57 5.65 0.1 0.000992956 0.00477012 0.0447561 -0.000583361 -0.00058404 -0.000831573
58 5.75 0 0 0 0 -0.000302333 -0.000303097 -0.000755331
59 5.85 0.1 2.79177e-05 0.000212838 0.0914104 -0.0139395 -0.000789656 -0.00120473
60 5.95 0.1 0.0568088 0.00552631 0.00170639 -0.00286329 -0.000688557 -0.00178097
61 6.05 0 0 0 0 -0.000386801 -0.000387564 -0.00140571
62 6.15 0 0 0 0 -0.000387361 -0.000388125 -0.00138993
63 6.25 0 0 0 0 -0.000388989 -0.000389753 -0.00140194
64 6.35 0 0 0 0 -0.000386559 -0.000387322 -0.00139037
65 6.45 0 0 0 0 -0.000389663 -0.000390426 -0.00140227
66 6.55 0 0 0 0 -0.000385952 -0.000386715 -0.00138978
67 6.65 0 0 0 0 -0.000390277 -0.000391041 -0.00140283
68 6.75 0 0 0 0 -0.000385313 -0.000386076 -0.00138943
69 6.85 0 0 0 0 -0.000390969 -0.000391732 -0.00140313
70 6.95 0 0 0 0 -0.000384472 -0.000385235 -0.00138903
71 7.05 0 0 0 0 -0.000392083 -0.000392847 -0.00140375
72 7.15 0 0 0 0 -0.000382746 -0.00038351 -0.00138757
73 7.25 0 0 0 0 -0.000395325 -0.000396088 -0.00140721
74 7.35 0 0 0 0 -0.000384885 -0.000385649 -0.00138373
75 7.45 0.1 0.0366226 0.0180124 0.0206862 -0.0115051 -0.00981944 -0.0279976
76 7.55 0 0 0 0 -0.0124568 -0.0104294 -0.0299223
77 7.65 0 0 0 0 -0.012406 -0.0103786 -0.0298357
78 7.75 0 0 0 0 -0.0124618 -0.0104344 -0.029918
79 7.85 0 0 0 0 -0.0123656 -0.0103383 -0.0298027
80 7.95 0.1 0.000218687 0.100697 0.15297 -0.02823 -0.0230723 -0.0339208
81 8.05 0 0 0 0 -0.0397403 -0.0315665 -0.0287816
82 8.15 0 0 0 0 -0.0395859 -0.0314122 -0.0286354
83 8.25 0 0 0 0 -0.0397511 -0.0315774 -0.0287636
84 8.35 0 0 0 0 -0.0394827 -0.031309 -0.0285904
85 8.45 0.2 0.215328 0.182369 0.26436 1.51553 0.18827 -0.0663703
86 8.55 0.2 0.04608 0.173785 0.0434621 -0.408759 -0.290955 -0.178259
87 8.65 0.3 0.0900173 0.0384009 0.561055 -0.484564 -0.336254 -0.270723
88 8.75 0.1 0.150251 0.287581 0.029395 -0.428308 -0.31332 -0.371877
89 8.85 0 0 0 0 -0.253101 -0.256732 -0.413095
90 8.95 0 0 0 0 -0.252975 -0.256605 -0.412991
91 9.05 0.3 0.200941 0.0185972 0.406324 -0.515913 -0.364215 -0.514367
92 9.15 0 0 0 0 -0.322587 -0.376796 -0.533608
93 9.25 0.1 0.155516 0.0382894 0.129241 -0.332559 -0.374633 -0.529524
94 9.35 0.4 0.142143 0.0922476 0.610847 0.114834 1.64995 -0.565558
95 9.45 0.3 0.00201238 0.0305607 0.293824 0.238857 -0.905071 -0.681326
96 9.55 0.3 0.162648 0.0272218 0.145026 -1.03128 -1.02465 -0.747605
97 9.65 0.6 0.56048 0.0631205 0.734929 -1.17343 -1.37577 -0.836776
98 9.75 0.8 0.755564 0.480189 0.469098 0.381873 -0.673204 -1.0112
99 9.85 0.2 0.517142 0.0294609 0.36637 -1.18675 -1.18277 -1.05402
100 9.95 0.4 0.522643 0.416723 0.306283 -1.10573 -1.13902 -0.958727
101 10.05 0.3 0.284777 0.271829 0.133071 -0.681894 -0.720132 -0.73873
102 10.15 0.5 0.60773 0.341022 0.312895 -0.955102 -1.3221 -0.595841
103 10.25 0.4 0.970516 0.429641 0.392282 -0.37608 -1.14095 -0.555943
104 10.35 0.3 0.661874 0.527748 0.109136 -0.739706 0.727413 -0.347124
105 10.45 1.3 1.25424 1.07682 0.962847 0.585018 0.897048 -0.544632
106 10.55 0.9 0.940991 0.930677 1.00496 -1.10141 -1.02974 -0.562681
107 10.65 0.4 0.277867 0.289532 0.443885 0.37414 -0.701316 -0.562794
108 10.75 0.9 1.16113 1.07163 0.742032 -0.7276 -1.57478 -0.703436
109 10.85 0.7 0.430942 0.457078 0.477288 -1.34665 -1.99058 -0.810838
110 10.95 0.3 0.145853 0.536308 0.38635 -1.53462 -1.82614 -1.02563
111 11.05 0.6 0.547415 0.716702 0.441738 -1.55861 -1.85082 -1.3852
112 11.15 0.6 0.629065 0.551949 0.695757 -1.86888 -0.772612 -1.69198
113 11.25 0.3 0.247733 0.0243158 0.0410624 -2.38569 -1.67858 -1.87754
114 11.35 0.9 1.00602 0.160022 0.696326 -2.87687 -3.08294 -1.96309
115 11.45 1.1 0.773676 0.613165 1.36824 -2.42888 -1.93311 -2.49934
116 11.55 1 0.428123 0.385271 0.295631 -4.18834 -3.48452 -2.53738
117 11.65 0.7 0.408401 0.953346 0.354363 -2.04367 -2.70218 -2.12964
118 11.75 0.6 0.785545 0.872225 0.459862 -1.6422 -1.79515 -1.89646
119 11.85 0.5 0.179803 0.256233 0.261832 -1.06442 -1.18689 -1.4751
120 11.95 0.4 0.0667567 0.721869 0.247074 -1.6749 -1.78794 -1.46475
121 12.05 0.8 0.606975 1.07417 0.823709 -1.41729 -0.830753 -1.41419
122 12.15 0.7 0.247762 0.442482 0.976954 0.163966 -0.784421 -1.40893
123 12.25 0.9 1.0477 0.263743 0.939034 2.25512 -0.470622 -1.64279
124 12.35 0.9 1.0137 0.819961 0.496593 -0.944924 -1.55821 -1.43581
125 12.45 1 0.227414 0.866884 1.07515 -0.132713 -0.214613 -1.40092
126 12.55 0.6 0.307356 0.254554 0.339712 -1.37958 -1.42892 -0.806757
127 12.65 0.7 0.106583 0.562634 0.486233 -0.391784 -1.42863 -0.376766
128 12.75 0.7 0.701974 0.265816 0.491099 0.270732 -1.49979 0.0886582
129 12.85 0.6 0.4901 0.326584 0.240504 -1.39573 -1.84203 -0.0307171
130 12.95 0.7 0.385886 0.328075 0.925645 -2.10051 -1.87783 -0.156687
131 13.05 0.4 0.393543 0.493265 0.187213 -1.6159 -2.2241 -0.190628
132 13.15 0.8 0.715648 0.858177 0.228972 -0.305428 -1.59574 0.0178893
133 13.25 0.7 0.620006 1.04333 0.533005 -0.462914 -0.72514 0.00466385
134 13.35 1 0.793241 1.1798 1.01322 -0.666062 -1.16241 -0.731577
135 13.45 0.6 0.679852 0.925897 0.30762 1.62376 -0.476675 -0.539784
136 13.55 0.7 0.402049 0.518602 0.618921 -0.807909 0.248138 -0.660906
137 13.65 1 1.03316 0.847672 1.35455 -1.11856 -0.641217 -1.31869
138 13.75 0.6 0.479529 0.0297147 0.776428 -1.81707 -0.0533039 -1.40283
139 13.85 0.6 0.202027 0.165846 0.773892 -0.711073 -0.991304 -1.52285
140 13.95 0.4 0.0918457 0.11541 0.386616 -0.918461 -1.78077 -1.50782
141 14.05 0.6 0.474623 0.569696 0.498455 -1.08212 -1.82866 -1.69825
142 14.15 0.9 0.321448 0.390693 0.311273 -2.59037 -2.64092 -1.72452
143 14.25 0.8 0.526056 0.474601 0.22429 -1.61003 -1.32312 -1.65663
144 14.35 1.1 0.411629 1.32269 0.821005 -1.41159 -0.793326 -1.44424
145 14.45 0.5 0.597461 0.252272 0.916786 -0.585799 -1.75898 -1.27538
146 14.55 0.7 0.433887 0.924705 0.55472 -0.894167 -1.95159 -1.15922
147 14.65 0.6 0.264962 1.4356 0.243479 -1.46232 -2.17233 -1.23246
148 14.75 0.9 1.04314 0.782034 0.884301 -0.855609 -1.10617 -1.15862
149 14.85 0.8 0.502323 0.597898 0.85019 -1.87527 -0.50388 0.0939704
150 14.95 0.4 0.515104 0.126924 0.135097 -1.0961 -1.67566 0.92654
151 15.05 1 0.466467 0.678339 0.511305 -0.723137 -1.0089 0.745154
152 15.15 1.1 1.56121 1.81934 1.02552 -1.99611 1.12244 1.32244
153 15.25 0.6 0.510233 0.422539 0.449058 -1.68744 -1.01639 1.51635
154 15.35 0.5 0.373037 1.11416 0.521934 -1.30562 -0.884474 1.59613
155 15.45 0.9 1.27637 0.538677 0.494368 -2.03751 -1.08278 1.8123
156 15.55 0.9 0.455131 0.360703 0.327818 -2.30921 -1.06561 1.34713
157 15.65 0.8 0.899225 0.946457 0.736051 -1.76504 -2.35684 0.479258
158 15.75 0.7 0.716937 0.481861 0.939367 -1.1626 -2.11575 -0.0145153
159 15.85 0.8 0.207274 0.47556 0.823543 -1.16664 -1.64811 -0.480796
160 15.95 0.5 0.531089 0.496092 0.285413 -1.23745 -1.47713 -0.544344
161 16.05 0.7 0.715234 0.559461 0.144704 -1.60813 -2.16952 -0.63754
