# Time-averaged data for fix fg
# TimeStep v_pxx v_pyy v_pzz
0 -0.189082 -0.204194 -0.0889976
200 -0.0639555 -0.0761558 0.0112133
400 -0.159105 0.0194151 0.0940631
600 -0.078517 -0.0798284 0.0349833
800 -0.128407 -0.0996568 -0.0737552
1000 -0.0426173 -0.0167511 -0.12812
1200 -0.0697251 -0.0679763 0.00341097
1400 -0.142706 -0.146316 -0.118719
1600 -0.131445 -0.111475 -0.164366
1800 -0.143468 -0.145858 -0.0471696
2000 -0.15554 -0.198982 -0.140994
2200 -0.183346 -0.0600248 -0.126144
2400 -0.129991 -0.21413 -0.13325
2600 -0.134764 -0.154712 -0.191117
2800 -0.101364 -0.0295854 -0.109261
3000 -0.188697 -0.185469 -0.151873
3200 0.0197073 -0.136415 -0.0219141
3400 -0.0299332 -0.176286 0.000508778
3600 -0.00596733 -0.122925 -0.11599
3800 -0.166276 -0.121395 -0.00904084
4000 -0.121503 -0.0777916 -0.120514
4200 -0.037591 -0.113662 -0.0601335
4400 -0.130678 -0.133876 -0.135499
4600 -0.176821 -0.164258 -0.0517195
4800 -0.167052 -0.0872235 -0.0566846
5000 -0.00597055 -0.0178078 -0.0078323
5200 -0.0114915 -0.0544169 0.0457449
5400 -0.0626438 -0.0867868 -0.0413476
5600 0.00793594 -0.0155412 -0.092944
5800 0.0254657 -0.146083 0.0289808
6000 -0.149356 -0.132123 -0.0807417
6200 -0.177902 -0.0304289 -0.15298
6400 -0.109046 -0.0536964 -0.0658885
6600 -0.171511 -0.185952 -0.0594029
6800 -0.150438 -0.110764 -0.122676
7000 -0.185533 -0.159018 -0.0898689
7200 -0.0170501 -0.0436182 -0.0774198
7400 -0.119232 -0.140778 -0.0790746
7600 -0.201935 -0.152669 -0.0926534
7800 -0.122257 -0.042804 -0.0698162
8000 -0.0538074 -0.0799523 -0.0115663
8200 -0.143275 -0.151657 -0.11672
8400 -0.09497 -0.213013 -0.050916
8600 -0.0910308 -0.17564 -0.0530087
8800 -0.141119 -0.218712 -0.1469
9000 -0.131036 -0.122377 -0.0863959
9200 0.0388769 0.0163916 0.0114477
9400 -0.0426207 -0.0974301 -0.00936013
9600 -0.115008 -0.0645796 -0.0361348
9800 -0.0935498 -0.14069 -0.0310959
10000 -0.10887 -0.161471 -0.0455135
10200 -0.267828 -0.266768 -0.187936
10400 -0.203341 -0.144698 -0.111579
10600 -0.302488 -0.203918 -0.14725
10800 -0.172929 -0.21315 -0.0192251
11000 -0.102348 -0.0668868 -0.0747459
11200 -0.0483159 -0.0728542 -0.01837
11400 -0.147576 -0.0619364 -0.0314035
11600 -0.0146478 -0.110529 0.0602013
11800 -0.171253 -0.24414 -0.00849525
12000 -0.0166093 -0.00505831 0.00537349
12200 -0.0697861 -0.117004 -0.00852286
12400 -0.133023 -0.177109 -0.082512
12600 -0.112338 -0.112125 -0.0968144
12800 -0.186844 -0.152978 -0.131432
13000 -0.181137 -0.226017 -0.0403676
13200 -0.0600339 -0.167608 -0.009027
13400 -0.0455699 -0.0629673 0.0314687
13600 -0.171984 -0.0702531 -0.102577
13800 0.0756661 -0.0698888 -0.023236
14000 -0.169203 -0.00134977 -0.103216
14200 -0.0947063 -0.0313463 -0.0503886
14400 0.0781659 -0.0177982 -0.0282282
14600 -0.124188 -0.124236 0.00313825
14800 -0.0963548 -0.195182 -0.155421
15000 -0.157066 -0.167852 -0.190242
15200 -0.102005 -0.111236 -0.197379
15400 -0.122846 -0.045879 -0.0936359
15600 -0.041013 -0.191718 -0.0922467
15800 -0.0631596 0.00170264 -0.118723
16000 -0.155454 0.0172868 -0.0832429
16200 -0.216604 -0.208202 0.0444552
16400 -0.00450995 -0.104653 -0.129604
16600 -0.163988 -0.18462 -0.0859572
16800 -0.1954 -0.193316 -0.132157
17000 -0.0722588 -0.0905038 0.0132046
17200 -0.101536 -0.134796 -0.0802543
17400 -0.207231 -0.191502 -0.084655
17600 -0.0417756 0.0444766 0.0655363
17800 0.0149892 0.0146681 0.165161
18000 -0.188441 -0.124825 -0.0384355
18200 -0.187533 -0.0938496 -0.00563917
18400 0.00248 -0.0322985 0.0809591
18600 -0.111564 -0.15523 -0.138505
18800 -0.0520406 -0.114879 -0.207943
19000 -0.106336 -0.139771 -0.0358398
19200 -0.133217 -0.189749 -0.0508572
19400 0.0121486 -0.134339 -0.0716057
19600 -0.0482955 0.0613701 0.0684698
19800 -0.180807 -0.147261 -0.0358335
20000 -0.218336 -0.085354 -0.0329613
20200 0.00506489 0.0685299 -0.0167972
20400 -0.0992982 -0.07007 -0.0053221
20600 -0.144864 -0.161466 -0.0553037
20800 -0.0197282 -0.109486 -0.0925348
21000 -0.079611 -0.0604888 -0.0102346
21200 -0.0942686 -0.0627035 -0.0572529
21400 -0.0136968 -0.0522302 -0.00741927
21600 -0.244731 -0.0689011 -0.116701
21800 -0.0145226 -0.134426 -0.000137078
22000 -0.119103 -0.162132 -0.149604
22200 -0.210231 -0.223629 -0.169347
22400 -0.155853 -0.164039 -0.112024
22600 -0.132145 -0.0578046 -0.0421626
22800 -0.130131 -0.0828769 0.054149
23000 -0.177258 -0.13704 -0.0602222
23200 -0.162168 -0.0727138 0.00261485
23400 -0.061093 -0.0649081 -0.0905412
23600 0.00223285 -0.0356046 -0.0936501
23800 -0.0688675 -0.146136 -0.107289
24000 -0.0776761 -0.0195929 -0.120768
24200 -0.0405437 -0.168214 -0.117972
24400 -0.22983 -0.120606 -0.0952277
24600 -0.14333 -0.161491 -0.173014
24800 -0.105984 -0.0800101 -0.0666394
25000 -0.131362 -0.0895068 -0.150295
25200 -0.0790781 -0.226929 -0.141274
25400 -0.0936267 -0.11008 0.0582194
25600 -0.16688 -0.00645978 0.0367916
25800 -0.132505 -0.085287 -0.177515
26000 -0.110964 -0.159325 -0.0520985
26200 -0.0694623 0.0145944 -0.0686121
26400 -0.0995192 -0.119431 -0.0126998
26600 -0.159951 -0.160622 -0.0690452
26800 -0.140217 -0.128059 -0.0718418
27000 -0.0353542 -0.178251 -0.0859435
27200 -0.122248 -0.134083 -0.0532496
27400 -0.0842429 -0.0887247 -0.107728
27600 -0.157979 -0.0210887 -0.0644982
27800 -0.146958 -0.138382 0.042913
