# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_sa[1] c_sa[2] c_sa[3]
0 396 2000
  1 0.03 8 1.75049 1.75049 1.44955
  2 0.09 7 1.5291 1.5291 1.2742
  3 0.15 7 1.52653 1.52653 1.27958
  4 0.21 8 1.74124 1.74124 1.46885
  5 0.27 7 1.52046 1.52046 1.29079
  6 0.33 7 1.51738 1.51738 1.29586
  7 0.39 7 1.51412 1.51412 1.30079
  8 0.45 7 1.51071 1.51071 1.30557
  9 0.51 7 1.50713 1.50713 1.31021
  10 0.57 7 1.50339 1.50339 1.31469
  11 0.63 7 1.49948 1.49948 1.31898
  12 0.69 7 1.49541 1.49541 1.32307
  13 0.75 7 1.49118 1.49118 1.32695
  14 0.81 7 1.48679 1.48679 1.33061
  15 0.87 6 1.27078 1.27078 1.14327
  16 0.93 7 1.47822 1.47822 1.33678
  17 0.99 6 1.2632 1.2632 1.14818
  18 1.05 7 1.46912 1.46912 1.34208
  19 1.11 7 1.464 1.464 1.34454
  20 1.17 6 1.25068 1.25068 1.1542
  21 1.23 6 1.24673 1.24673 1.15561
  22 1.29 7 1.44942 1.44942 1.34975
  23 1.35 6 1.23789 1.23789 1.15802
  24 1.41 6 1.23368 1.23368 1.15881
  25 1.47 7 1.43387 1.43387 1.3527
  26 1.53 6 1.22431 1.22431 1.15987
  27 1.59 6 1.21987 1.21987 1.16004
  28 1.65 7 1.41748 1.41748 1.35331
  29 1.71 6 1.21003 1.21003 1.15969
  30 1.77 6 1.2054 1.2054 1.15922
  31 1.83 6 1.20071 1.20071 1.15855
  32 1.89 6 1.19597 1.19597 1.15767
  33 1.95 6 1.19119 1.19119 1.15661
  34 2.01 6 1.18636 1.18636 1.15535
  35 2.07 6 1.18149 1.18149 1.15391
  36 2.13 7 1.37221 1.37221 1.34414
  37 2.19 6 1.17084 1.17084 1.15013
  38 2.25 6 1.16587 1.16587 1.14812
  39 2.31 6 1.16088 1.16088 1.14594
  40 2.37 6 1.15587 1.15587 1.14359
  41 2.43 6 1.15084 1.15084 1.14109
  42 2.49 6 1.1458 1.1458 1.13844
