# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_sa[1] c_sa[2] c_sa[3]
0 396 2000
  1 0.03 8 1.75051 1.75051 1.44927
  2 0.09 7 1.52911 1.52911 1.27395
  3 0.15 7 1.52654 1.52654 1.27933
  4 0.21 8 1.74125 1.74125 1.46855
  5 0.27 7 1.52047 1.52047 1.29054
  6 0.33 7 1.51738 1.51738 1.29559
  7 0.39 7 1.51413 1.51413 1.30053
  8 0.45 7 1.51072 1.51072 1.30532
  9 0.51 7 1.50714 1.50714 1.30995
  10 0.57 7 1.50339 1.50339 1.31442
  11 0.63 7 1.49949 1.49949 1.31871
  12 0.69 7 1.49542 1.49542 1.3228
  13 0.75 7 1.49118 1.49118 1.32668
  14 0.81 7 1.48679 1.48679 1.33034
  15 0.87 6 1.27078 1.27078 1.14303
  16 0.93 7 1.47822 1.47822 1.33651
  17 0.99 6 1.2632 1.2632 1.14795
  18 1.05 7 1.46912 1.46912 1.3418
  19 1.11 7 1.464 1.464 1.34426
  20 1.17 6 1.25068 1.25068 1.15396
  21 1.23 6 1.24673 1.24673 1.15537
  22 1.29 7 1.44942 1.44942 1.34946
  23 1.35 6 1.23789 1.23789 1.15777
  24 1.41 6 1.23368 1.23368 1.15857
  25 1.47 7 1.43387 1.43387 1.35241
  26 1.53 6 1.2243 1.2243 1.15962
  27 1.59 6 1.21986 1.21986 1.15978
  28 1.65 7 1.41748 1.41748 1.35301
  29 1.71 6 1.21003 1.21003 1.15944
  30 1.77 6 1.20539 1.20539 1.15897
  31 1.83 6 1.2007 1.2007 1.15829
  32 1.89 6 1.19597 1.19597 1.15742
  33 1.95 6 1.19118 1.19118 1.15635
  34 2.01 6 1.18635 1.18635 1.15509
  35 2.07 6 1.18149 1.18149 1.15364
  36 2.13 7 1.37221 1.37221 1.34383
  37 2.19 6 1.17083 1.17083 1.14987
  38 2.25 6 1.16586 1.16586 1.14785
  39 2.31 6 1.16087 1.16087 1.14567
  40 2.37 6 1.15586 1.15586 1.14333
  41 2.43 6 1.15084 1.15084 1.14082
  42 2.49 6 1.1458 1.1458 1.13818
  43 2.55 6 1.14074 1.14074 1.13538
  44 2.61 6 1.13568 1.13568 1.13246
  45 2.67 6 1.13062 1.13062 1.1294
  46 2.73 6 1.12555 1.12555 1.12623
  47 2.79 6 1.12048 1.12048 1.12294
  48 2.85 6 1.11541 1.11541 1.11955
  49 2.91 6 1.11034 1.11034 1.11606
  50 2.97 6 1.10529 1.10529 1.11248
  51 3.03 5 0.917213 0.917213 0.924268
  52 3.09 6 1.09603 1.09603 1.1057
  53 3.15 6 1.091 1.091 1.1019
  54 3.21 6 1.08598 1.08598 1.09804
  55 3.27 6 1.08097 1.08097 1.09412
  56 3.33 6 1.07598 1.07598 1.09015
  57 3.39 6 1.07099 1.07099 1.08614
  58 3.45 6 1.06603 1.06603 1.0821
  59 3.51 6 1.06108 1.06108 1.07802
  60 3.57 5 0.880466 0.880466 0.895221
  61 3.63 6 1.05205 1.05205 1.07049
  62 3.69 6 1.04715 1.04715 1.06636
