# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pIKlr[1] c_pIKlr[2] c_pIKlr[3] c_pIKlr[4] c_pIKlr[5] c_pIKlr[6] c_pIKlr[7] c_pIKlr[8]
0 395
1 0.0300494 0 0 0 0 -0.200332 -0.200332 -0.179872
2 0.0901482 0 0 0 0 -0.197063 -0.197063 -0.179004
3 0.150247 0 0 0 0 -0.194936 -0.194936 -0.178371
4 0.210346 0 0 0 0 -0.19377 -0.19377 -0.177896
5 0.270445 0 0 0 0 -0.190606 -0.190606 -0.176909
6 0.330543 0 0 0 0 -0.188475 -0.188475 -0.176168
7 0.390642 0 0 0 0 -0.186425 -0.186425 -0.175393
8 0.450741 0 0 0 0 -0.184429 -0.184429 -0.174588
9 0.51084 0 0 0 0 -0.182472 -0.182472 -0.17375
10 0.570939 0 0 0 0 -0.180544 -0.180544 -0.172883
11 0.631037 0 0 0 0 -0.178636 -0.178636 -0.171985
12 0.691136 0 0 0 0 -0.176739 -0.176739 -0.171058
13 0.751235 0 0 0 0 -0.174838 -0.174838 -0.170105
14 0.811334 0 0 0 0 -0.172906 -0.172906 -0.169126
15 0.871433 0 0 0 0 -0.170185 -0.170185 -0.167934
16 0.931531 0 0 0 0 -0.169364 -0.169364 -0.16719
17 0.99163 0 0 0 0 -0.167603 -0.167603 -0.166143
18 1.05173 0 0 0 0 -0.165005 -0.165005 -0.164889
19 1.11183 0 0 0 0 -0.164222 -0.164222 -0.164082
20 1.17193 0 0 0 0 -0.161749 -0.161749 -0.162792
21 1.23203 0 0 0 0 -0.161031 -0.161031 -0.161949
22 1.29212 0 0 0 0 -0.158606 -0.158606 -0.160629
23 1.35222 0 0 0 0 -0.15717 -0.15717 -0.159569
24 1.41232 0 0 0 0 -0.156617 -0.156617 -0.158679
25 1.47242 0 0 0 0 -0.154343 -0.154343 -0.157317
26 1.53252 0 0 0 0 -0.153018 -0.153018 -0.156218
27 1.59262 0 0 0 0 -0.152545 -0.152545 -0.155289
28 1.65272 0 0 0 0 -0.150348 -0.150348 -0.153899
29 1.71282 0 0 0 0 -0.149047 -0.149047 -0.15277
30 1.77291 0 0 0 0 -0.147838 -0.147838 -0.151631
31 1.83301 0 0 0 0 -0.146706 -0.146706 -0.150482
32 1.89311 0 0 0 0 -0.145655 -0.145655 -0.149324
33 1.95321 0 0 0 0 -0.1454 -0.1454 -0.148334
34 2.01331 0 0 0 0 -0.143418 -0.143418 -0.146902
35 2.07341 0 0 0 0 -0.142279 -0.142279 -0.145724
36 2.13351 0 0 0 0 -0.141203 -0.141203 -0.144542
37 2.19361 0 0 0 0 -0.14017 -0.14017 -0.143356
38 2.25371 0 0 0 0 -0.139171 -0.139171 -0.142166
39 2.3138 0 0 0 0 -0.1382 -0.1382 -0.140975
40 2.3739 0 0 0 0 -0.137253 -0.137253 -0.139782
41 2.434 0 0 0 0 -0.136326 -0.136326 -0.138586
42 2.4941 0 0 0 0 -0.135417 -0.135417 -0.13739
43 2.5542 0 0 0 0 -0.134522 -0.134522 -0.136194
44 2.6143 0 0 0 0 -0.13364 -0.13364 -0.134998
45 2.6744 0 0 0 0 -0.132767 -0.132767 -0.133803
46 2.7345 0 0 0 0 -0.131901 -0.131901 -0.13261
47 2.79459 0 0 0 0 -0.131041 -0.131041 -0.131419
48 2.85469 0 0 0 0 -0.130183 -0.130183 -0.130231
49 2.91479 0 0 0 0 -0.129325 -0.129325 -0.129047
50 2.97489 0 0 0 0 -0.128465 -0.128465 -0.127868
51 3.03499 0 0 0 0 -0.127601 -0.127601 -0.126694
52 3.09509 0 0 0 0 -0.126728 -0.126728 -0.125525
53 3.15519 0 0 0 0 -0.125843 -0.125843 -0.12436
54 3.21529 0 0 0 0 -0.124941 -0.124941 -0.1232
55 3.27538 0 0 0 0 -0.124012 -0.124012 -0.122045
56 3.33548 0 0 0 0 -0.123038 -0.123038 -0.120896
57 3.39558 0 0 0 0 -0.12136 -0.12136 -0.119604
58 3.45568 0 0 0 0 -0.121287 -0.121287 -0.11869
59 3.51578 0 0 0 0 -0.120458 -0.120458 -0.117565
60 3.57588 0 0 0 0 -0.119568 -0.119568 -0.116449
61 3.63598 0 0 0 0 -0.118624 -0.118624 -0.115343
62 3.69608 0 0 0 0 -0.117613 -0.117613 -0.114246
63 3.75618 0 0 0 0 -0.115894 -0.115894 -0.113015
64 3.81627 0 0 0 0 -0.115734 -0.115734 -0.112149
65 3.87637 0 0 0 0 -0.1148 -0.1148 -0.111082
66 3.93647 0 0 0 0 -0.113764 -0.113764 -0.110025
67 3.99657 0 0 0 0 -0.11201 -0.11201 -0.108838
68 4.05667 0 0 0 0 -0.111771 -0.111771 -0.10801
69 4.11677 0 0 0 0 -0.110731 -0.110731 -0.106985
70 4.17687 0 0 0 0 -0.10895 -0.10895 -0.105832
71 4.23697 0 0 0 0 -0.108632 -0.108632 -0.105032
72 4.29706 0 0 0 0 -0.10689 -0.10689 -0.1039
73 4.35716 0 0 0 0 -0.106573 -0.106573 -0.103119
74 4.41726 0 0 0 0 -0.104832 -0.104832 -0.10201
75 4.47736 0 0 0 0 -0.104494 -0.104494 -0.10125
76 4.53746 0 0 0 0 -0.102734 -0.102734 -0.100167
77 4.59756 0 0 0 0 -0.102353 -0.102353 -0.0994286
78 4.65766 0 0 0 0 -0.100542 -0.100542 -0.0983698
79 4.71776 0 0 0 0 -0.0994978 -0.0994978 -0.0975212
80 4.77786 0 0 0 0 -0.0991274 -0.0991274 -0.0968171
81 4.83795 0 0 0 0 -0.0973191 -0.0973191 -0.0957942
82 4.89805 0 0 0 0 -0.0962377 -0.0962377 -0.094978
83 4.95815 0 0 0 0 -0.0952273 -0.0952273 -0.0941709
84 5.01825 0 0 0 0 -0.0948451 -0.0948451 -0.0935034
85 5.07835 0 0 0 0 -0.0930275 -0.0930275 -0.0925201
86 5.13845 0 0 0 0 -0.0919005 -0.0919005 -0.0917409
87 5.19855 0 0 0 0 -0.0908058 -0.0908058 -0.090972
88 5.25865 0 0 0 0 -0.0897235 -0.0897235 -0.0902136
89 5.31874 0 0 0 0 -0.0886396 -0.0886396 -0.0894656
90 5.37884 0 0 0 0 -0.087534 -0.087534 -0.0887279
91 5.43894 0 0 0 0 -0.0858762 -0.0858762 -0.0878705
92 5.49904 0 0 0 0 -0.0855655 -0.0855655 -0.0873424
93 5.55914 0 0 0 0 -0.0846082 -0.0846082 -0.0866316
94 5.61924 0 0 0 0 -0.08359 -0.08359 -0.0859288
95 5.67934 0 0 0 0 -0.0820051 -0.0820051 -0.0851058
96 5.73944 0 0 0 0 -0.081717 -0.081717 -0.0846081
97 5.79953 0 0 0 0 -0.0807645 -0.0807645 -0.0839297
98 5.85963 0 0 0 0 -0.0792262 -0.0792262 -0.0831319
99 5.91973 0 0 0 0 -0.0789325 -0.0789325 -0.0826568
100 5.97983 0 0 0 0 -0.0774677 -0.0774677 -0.0818751
101 6.03993 0 0 0 0 -0.0772111 -0.0772111 -0.081415
102 6.10003 0 0 0 0 -0.0757849 -0.0757849 -0.0806485
103 6.16013 0 0 0 0 -0.0755399 -0.0755399 -0.0802015
104 6.22023 0 0 0 0 -0.0741211 -0.0741211 -0.0794486
105 6.28033 0 0 0 0 -0.0733694 -0.0733694 -0.0788863
106 6.34042 0 0 0 0 -0.0732002 -0.0732002 -0.0784571
107 6.40052 0 0 0 0 -0.071852 -0.071852 -0.0777255
108 6.46062 0 0 0 0 -0.0711339 -0.0711339 -0.0771828
109 6.52072 0 0 0 0 -0.0704935 -0.0704935 -0.0766462
110 6.58082 0 0 0 0 -0.0704035 -0.0704035 -0.0762417
111 6.64092 0 0 0 0 -0.0691378 -0.0691378 -0.0755377
112 6.70102 0 0 0 0 -0.0684692 -0.0684692 -0.0750191
113 6.76112 0 0 0 0 -0.0678501 -0.0678501 -0.0745065
114 6.82121 0 0 0 0 -0.0672672 -0.0672672 -0.0740001
115 6.88131 0 0 0 0 -0.0667144 -0.0667144 -0.0734998
116 6.94141 0 0 0 0 -0.0661881 -0.0661881 -0.0730053
117 7.00151 0 0 0 0 -0.0656855 -0.0656855 -0.0725162
118 7.06161 0 0 0 0 -0.0652049 -0.0652049 -0.0720324
119 7.12171 0 0 0 0 -0.0647446 -0.0647446 -0.0715532
120 7.18181 0 0 0 0 -0.0643032 -0.0643032 -0.0710787
121 7.24191 0 0 0 0 -0.0638795 -0.0638795 -0.0706091
122 7.302 0 0 0 0 -0.0634724 -0.0634724 -0.070145
123 7.3621 0 0 0 0 -0.0630808 -0.0630808 -0.0696867
124 7.4222 0 0 0 0 -0.0627035 -0.0627035 -0.0692341
125 7.4823 0 0 0 0 -0.0623394 -0.0623394 -0.0687867
126 7.5424 0 0 0 0 -0.0619874 -0.0619874 -0.0683445
127 7.6025 0 0 0 0 -0.0616462 -0.0616462 -0.0679076
128 7.6626 0 0 0 0 -0.0613141 -0.0613141 -0.0674763
129 7.7227 0 0 0 0 -0.0609892 -0.0609892 -0.067051
130 7.7828 0 0 0 0 -0.0606684 -0.0606684 -0.0666313
131 7.84289 0 0 0 0 -0.0603467 -0.0603467 -0.0662169
132 7.90299 0 0 0 0 -0.060012 -0.060012 -0.0658075
133 7.96309 0 0 0 0 -0.0592139 -0.0592139 -0.0652813
134 8.02319 0 0 0 0 -0.0595178 -0.0595178 -0.0650388
135 8.08329 0 0 0 0 -0.0593402 -0.0593402 -0.0646456
136 8.14339 0 0 0 0 -0.0591463 -0.0591463 -0.0642581
137 8.20349 0 0 0 0 -0.0589464 -0.0589464 -0.0638765
138 8.26359 0 0 0 0 -0.0587438 -0.0587438 -0.0635006
139 8.32368 0 0 0 0 -0.0585391 -0.0585391 -0.06313
140 8.38378 0 0 0 0 -0.0583319 -0.0583319 -0.0627649
141 8.44388 0 0 0 0 -0.0581201 -0.0581201 -0.0624055
142 8.50398 0 0 0 0 -0.0578991 -0.0578991 -0.0620519
143 8.56408 0 0 0 0 -0.0576575 -0.0576575 -0.0617045
144 8.62418 0 0 0 0 -0.0569471 -0.0569471 -0.0612441
145 8.68428 0 0 0 0 -0.0573207 -0.0573207 -0.0610543
146 8.74438 0 0 0 0 -0.0572155 -0.0572155 -0.0607265
147 8.80447 0 0 0 0 -0.0570878 -0.0570878 -0.060405
148 8.86457 0 0 0 0 -0.056948 -0.056948 -0.0600895
149 8.92467 0 0 0 0 -0.0567999 -0.0567999 -0.05978
150 8.98477 0 0 0 0 -0.0566446 -0.0566446 -0.0594763
151 9.04487 0 0 0 0 -0.0564821 -0.0564821 -0.0591782
152 9.10497 0 0 0 0 -0.0563116 -0.0563116 -0.0588858
153 9.16507 0 0 0 0 -0.056131 -0.056131 -0.0585989
154 9.22517 0 0 0 0 -0.0559355 -0.0559355 -0.0583177
155 9.28527 0 0 0 0 -0.0557139 -0.0557139 -0.0580423
156 9.34536 0 0 0 0 -0.0550231 -0.0550231 -0.0576555
157 9.40546 0 0 0 0 -0.0554015 -0.0554015 -0.0575271
158 9.46556 0 0 0 0 -0.0552992 -0.0552992 -0.0572698
159 9.52566 0 0 0 0 -0.0551684 -0.0551684 -0.0570184
160 9.58576 0 0 0 0 -0.0550191 -0.0550191 -0.0567723
161 9.64586 0 0 0 0 -0.0548542 -0.0548542 -0.0565318
162 9.70596 0 0 0 0 -0.0546731 -0.0546731 -0.0562969
163 9.76606 0 0 0 0 -0.0544721 -0.0544721 -0.0560673
164 9.82615 0 0 0 0 -0.0542402 -0.0542402 -0.0558429
165 9.88625 0 0 0 0 -0.0535409 -0.0535409 -0.0555071
166 9.94635 0 0 0 0 -0.053897 -0.053897 -0.0554228
167 10.0065 0 0 0 0 -0.0537691 -0.0537691 -0.0552133
168 10.0665 0 0 0 0 -0.0536051 -0.0536051 -0.0550082
169 10.1266 0 0 0 0 -0.0534112 -0.0534112 -0.0548074
170 10.1867 0 0 0 0 -0.0531801 -0.0531801 -0.0546108
171 10.2468 0 0 0 0 -0.0524809 -0.0524809 -0.0543021
172 10.3069 0 0 0 0 -0.0528251 -0.0528251 -0.0542422
173 10.367 0 0 0 0 -0.0526828 -0.0526828 -0.0540584
174 10.4271 0 0 0 0 -0.0524968 -0.0524968 -0.0538784
175 10.4872 0 0 0 0 -0.0522664 -0.0522664 -0.0537017
176 10.5473 0 0 0 0 -0.0515672 -0.0515672 -0.0534112
177 10.6074 0 0 0 0 -0.0518983 -0.0518983 -0.0533665
178 10.6675 0 0 0 0 -0.0517374 -0.0517374 -0.0531964
179 10.7276 0 0 0 0 -0.0515176 -0.0515176 -0.0530286
180 10.7877 0 0 0 0 -0.0508247 -0.0508247 -0.0527473
181 10.8478 0 0 0 0 -0.0511457 -0.0511457 -0.052711
182 10.9079 0 0 0 0 -0.0509629 -0.0509629 -0.0525498
183 10.968 0 0 0 0 -0.0502947 -0.0502947 -0.0522751
184 11.0281 0 0 0 0 -0.0506292 -0.0506292 -0.0522447
185 11.0882 0 0 0 0 -0.0504606 -0.0504606 -0.0520895
186 11.1483 0 0 0 0 -0.0498053 -0.0498053 -0.0518212
187 11.2084 0 0 0 0 -0.0501471 -0.0501471 -0.0517965
188 11.2685 0 0 0 0 -0.0499864 -0.0499864 -0.0516474
189 11.3286 0 0 0 0 -0.049339 -0.049339 -0.051385
190 11.3887 0 0 0 0 -0.0496827 -0.0496827 -0.0513652
191 11.4488 0 0 0 0 -0.0495222 -0.0495222 -0.0512211
192 11.5089 0 0 0 0 -0.0488738 -0.0488738 -0.0509634
193 11.569 0 0 0 0 -0.049198 -0.049198 -0.0509459
194 11.6291 0 0 0 0 -0.0485999 -0.0485999 -0.0506886
195 11.6892 0 0 0 0 -0.0489701 -0.0489701 -0.0506701
196 11.7493 0 0 0 0 -0.0488354 -0.0488354 -0.0505255
197 11.8094 0 0 0 0 -0.0482093 -0.0482093 -0.0502682
198 11.8695 0 0 0 0 -0.0485439 -0.0485439 -0.0502502
199 11.9296 0 0 0 0 -0.0479569 -0.0479569 -0.0499955
200 11.9897 0 0 0 0 -0.0483149 -0.0483149 -0.049979
201 12.0498 0 0 0 0 -0.0477507 -0.0477507 -0.0497267
202 12.1099 0 0 0 0 -0.0481295 -0.0481295 -0.0497107
203 12.17 0 0 0 0 -0.0475882 -0.0475882 -0.0494604
204 12.2301 0 0 0 0 -0.0480009 -0.0480009 -0.0494447
205 12.2902 0 0 0 0 -0.0479121 -0.0479121 -0.0493048
206 12.3503 0 0 0 0 -0.0473282 -0.0473282 -0.0490561
207 12.4104 0 0 0 0 -0.0476961 -0.0476961 -0.0490406
208 12.4705 0 0 0 0 -0.0471453 -0.0471453 -0.048794
209 12.5306 0 0 0 0 -0.0475322 -0.0475322 -0.0487807
210 12.5907 0 0 0 0 -0.0469994 -0.0469994 -0.0485383
211 12.6508 0 0 0 0 -0.0474032 -0.0474032 -0.0485279
212 12.7109 0 0 0 0 -0.0468891 -0.0468891 -0.0482903
213 12.771 0 0 0 0 -0.0473237 -0.0473237 -0.0482829
214 12.8311 0 0 0 0 -0.0472591 -0.0472591 -0.0481552
215 12.8912 0 0 0 0 -0.0466982 -0.0466982 -0.0479264
216 12.9513 0 0 0 0 -0.0470877 -0.0470877 -0.0479256
217 13.0114 0 0 0 0 -0.046562 -0.046562 -0.0477027
218 13.0715 0 0 0 0 -0.0469859 -0.0469859 -0.0477061
219 13.1316 0 0 0 0 -0.0469097 -0.0469097 -0.0475901
220 13.1917 0 0 0 0 -0.046339 -0.046339 -0.0473763
221 13.2518 0 0 0 0 -0.0467159 -0.0467159 -0.0473885
222 13.3119 0 0 0 0 -0.0461789 -0.0461789 -0.0471849
223 13.372 0 0 0 0 -0.0465877 -0.0465877 -0.047207
224 13.4321 0 0 0 0 -0.0464949 -0.0464949 -0.0471148
225 13.4922 0 0 0 0 -0.0459093 -0.0459093 -0.0469298
226 13.5523 0 0 0 0 -0.0462664 -0.0462664 -0.0469677
227 13.6124 0 0 0 0 -0.0457117 -0.0457117 -0.0467939
228 13.6725 0 0 0 0 -0.0460974 -0.0460974 -0.0468425
229 13.7326 0 0 0 0 -0.0459798 -0.0459798 -0.0467787
230 13.7927 0 0 0 0 -0.0453722 -0.0453722 -0.0466267
231 13.8528 0 0 0 0 -0.0457008 -0.0457008 -0.0466982
232 13.9129 0 0 0 0 -0.0451209 -0.0451209 -0.0465636
233 13.973 0 0 0 0 -0.0454737 -0.0454737 -0.0466512
234 14.0331 0 0 0 0 -0.0453205 -0.0453205 -0.0466291
235 14.0932 0 0 0 0 -0.0446811 -0.0446811 -0.0465207
236 14.1533 0 0 0 0 -0.0449659 -0.0449659 -0.0466352
237 14.2134 0 0 0 0 -0.0443449 -0.0443449 -0.046547
238 14.2735 0 0 0 0 -0.0446303 -0.0446303 -0.0466823
239 14.3336 0 0 0 0 -0.0440105 -0.0440105 -0.0466154
240 14.3937 0 0 0 0 -0.0442903 -0.0442903 -0.0467724
241 14.4538 0 0 0 0 -0.0436674 -0.0436674 -0.0467276
242 14.5139 0 0 0 0 -0.0439392 -0.0439392 -0.046908
243 14.574 0 0 0 0 -0.0433112 -0.0433112 -0.0468862
244 14.6341 0 0 0 0 -0.0435733 -0.0435733 -0.0470902
245 14.6942 0 0 0 0 -0.0429387 -0.0429387 -0.0470912
246 14.7543 0 0 0 0 -0.0431891 -0.0431891 -0.0473202
247 14.8144 0 0 0 0 -0.0425461 -0.0425461 -0.0473462
248 14.8745 0 0 0 0 -0.0427812 -0.0427812 -0.0476031
249 14.9346 0 0 0 0 -0.0421259 -0.0421259 -0.0476553
250 14.9947 0 0 0 0 -0.0423359 -0.0423359 -0.0479407
251 15.0548 0 0 0 0 -0.0416533 -0.0416533 -0.048019
252 15.1148 0 0 0 0 -0.0414516 -0.0414516 -0.0482259
253 15.1749 0 0 0 0 -0.0416785 -0.0416785 -0.0485546
254 15.235 0 0 0 0 -0.0410099 -0.0410099 -0.0486727
255 15.2951 0 0 0 0 -0.0407981 -0.0407981 -0.0489194
256 15.3552 0 0 0 0 -0.0406285 -0.0406285 -0.049179
257 15.4153 0 0 0 0 -0.0404998 -0.0404998 -0.0494513
258 15.4754 0 0 0 0 -0.040777 -0.040777 -0.0498535
259 15.5355 0 0 0 0 -0.0401649 -0.0401649 -0.0500361
260 15.5956 0 0 0 0 -0.0399905 -0.0399905 -0.0503469
261 15.6557 0 0 0 0 -0.0398489 -0.0398489 -0.0506702
262 15.7158 0 0 0 0 -0.0397314 -0.0397314 -0.0510058
263 15.7759 0 0 0 0 -0.0396344 -0.0396344 -0.0513538
264 15.836 0 0 0 0 -0.0395562 -0.0395562 -0.0517144
265 15.8961 0 0 0 0 -0.0394959 -0.0394959 -0.052088
266 15.9562 0 0 0 0 -0.0394527 -0.0394527 -0.0524746
267 16.0163 0 0 0 0 -0.0394261 -0.0394261 -0.0528743
268 16.0764 0 0 0 0 -0.0394156 -0.0394156 -0.053287
269 16.1365 0 0 0 0 -0.0394202 -0.0394202 -0.0537126
270 16.1966 0 0 0 0 -0.0394385 -0.0394385 -0.0541513
271 16.2567 0 0 0 0 -0.0394672 -0.0394672 -0.054603
272 16.3168 0 0 0 0 -0.039498 -0.039498 -0.0550674
273 16.3769 0 0 0 0 -0.0391853 -0.0391853 -0.0553878
