# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pp[1] c_pp[2] c_pp[3] c_pp[4] c_pp[5] c_pp[6] c_pp[7] c_pp[8]
0 395
1 0.0300494 0 0 0 0 -0.00469117 -0.0111821 -0.0395321
2 0.0901482 0 0 0 0 -0.00467517 -0.0111799 -0.0393794
3 0.150247 0 0 0 0 -0.00467517 -0.0111799 -0.0393794
4 0.210346 0 0 0 0 -0.00467517 -0.0111799 -0.0393794
5 0.270445 0 0 0 0 0.0461927 -0.00759708 0.103011
6 0.330543 0 0 0 0 0.0490137 -0.00739839 0.110908
7 0.390642 0 0 0 0 0.0490137 -0.00739839 0.110908
8 0.450741 0 0 0 0 0.0490137 -0.00739839 0.110908
9 0.51084 0 0 0 0 0.0465492 -0.00686176 0.110306
10 0.570939 0 0 0 0 0.0338539 -0.00868175 0.10653
11 0.631037 0 0 0 0 0.0338539 -0.00868175 0.10653
12 0.691136 0 0 0 0 0.0334786 -0.0302519 0.11294
13 0.751235 0 0 0 0 0.0333733 -0.0363071 0.114739
14 0.811334 0 0 0 0 0.0333693 -0.036363 0.114212
15 0.871433 0 0 0 0 0.0333649 -0.0364246 0.11363
16 0.931531 0 0 0 0 0.0333649 -0.0364246 0.11363
17 0.99163 0 0 0 0 0.0380006 -0.036141 0.113169
18 1.05173 0 0 0 0 0.041013 -0.0319378 0.0956532
19 1.11183 0 0 0 0 -0.00494792 -0.00655667 -0.0205366
20 1.17193 0 0 0 0 -0.00494792 -0.00655667 -0.0205366
21 1.23203 0 0 0 0 -0.00494792 -0.00655667 -0.0205366
22 1.29212 0 0 0 0 -0.0156978 -0.00403669 0.000436469
23 1.35222 0 0 0 0 -0.0238475 -0.00212626 0.0163364
24 1.41232 0 0 0 0 -0.0238475 -0.00212626 0.0163364
25 1.47242 0 0 0 0 -0.0238475 -0.00212626 0.0163364
26 1.53252 0 0 0 0 -0.0276944 -0.00892971 0.017318
27 1.59262 0 0 0 0 -0.0296063 -0.0123565 0.0177458
28 1.65272 0 0 0 0 -0.0295682 -0.0143971 0.0244019
29 1.71282 0 0 0 0 -0.0292099 -0.00824696 0.0374416
30 1.77291 0 0 0 0 -0.0298108 -0.00960382 0.0346791
31 1.83301 0 0 0 0 -0.0410696 -0.0220665 0.0209346
32 1.89311 0 0 0 0 -0.0621519 -0.0485125 -0.00427877
33 1.95321 0 0 0 0 -0.0576015 -0.0560902 0.0258569
34 2.01331 0 0 0 0 -0.0565285 -0.0578772 0.0329636
35 2.07341 0 0 0 0 -0.0622217 -0.0626538 0.0232249
36 2.13351 0 0 0 0 -0.067109 -0.0667542 0.0148647
37 2.19361 0 0 0 0 -0.0904509 -0.104804 -0.00191647
38 2.25371 0 0 0 0 -0.0380739 -0.128499 -0.0177811
39 2.3138 0 0 0 0 0.0954144 1.95314 -0.0312967
40 2.3739 0 0 0 0 0.190833 5.62183 -0.00191735
41 2.434 0 0 0 0 0.639787 0.818836 -0.0442843
42 2.4941 0 0 0 0 0.611765 -0.0516382 -0.104778
43 2.5542 0 0 0 0 0.57203 -0.0686584 -0.137887
44 2.6143 0 0 0 0 0.525408 -0.136492 -0.251883
45 2.6744 0 0 0 0 0.163684 -0.300514 -0.32594
46 2.7345 0 0 0 0 -0.190895 -0.406657 -0.408335
47 2.79459 0 0 0 0 -0.436177 -0.465633 -0.486929
